Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;1107
Alkmaar;KD34;Opkomst;;956
Alkmaar;KD34;AantalStembriefjes;;956
Alkmaar;KD34;AantalGeldigeStemmen;;952
Alkmaar;KD34;AantalBlancoStemmen;;4
Alkmaar;KD34;;S.A.de Moraaz;503
Alkmaar;KD34;;G.van Leeuwen;438
Almelo;KD15;Kiesgerechtigden;;547
Almelo;KD15;Opkomst;;516
Almelo;KD15;AantalGeldigeStemmen;;515
Almelo;KD15;AantalStembriefjes;;515
Almelo;KD15;AantalBlancoStemmen;;0
Almelo;KD15;;mr. H. Jacobson;337
Almelo;KD15;;mr. J.R. Thorbecke;172
Amersfoort;KD26;Kiesgerechtigden;;795
Amersfoort;KD26;Opkomst;;725
Amersfoort;KD26;AantalStembriefjes;;725
Amersfoort;KD26;AantalGeldigeStemmen;;722
Amersfoort;KD26;AantalBlancoStemmen;;3
Amersfoort;KD26;;mr. S.van Walchren;314
Amersfoort;KD26;;J.D.C.C.W.baron van Ablaing van Giessenburg;309
Amersfoort;KD26;;dr. H. Menso;70
Amersfoort;KD26;;mr. J. Hora Siccama;12
Amsterdam I;KD28;Kiesgerechtigden;;447
Amsterdam I;KD28;Opkomst;;355
Amsterdam I;KD28;AantalStembriefjes;;355
Amsterdam I;KD28;AantalGeldigeStemmen;;352
Amsterdam I;KD28;AantalBlancoStemmen;;1
Amsterdam I;KD28;;mr. M.H. Godefroi;204
Amsterdam I;KD28;;D.D. Büchler;71
Amsterdam I;KD28;;M. Wiardi Beckman;15
Amsterdam I;KD28;;mr. W.J.C.van Hasselt;7
Amsterdam I;KD28;;mr. S. Vissering;6
Amsterdam II;KD29;Kiesgerechtigden;;483
Amsterdam II;KD29;Opkomst;;366
Amsterdam II;KD29;AantalStembriefjes;;366
Amsterdam II;KD29;AantalGeldigeStemmen;;364
Amsterdam II;KD29;AantalBlancoStemmen;;1
Amsterdam II;KD29;;jhr.mr. C. Backer;269
Amsterdam II;KD29;;mr. M.H. Godefroi;52
Amsterdam II;KD29;;P. Bruining;16
Amsterdam II;KD29;;mr. F.A.van Hall;10
Amsterdam II;KD29;;mr. W.J.C.van Hasselt;8
Amsterdam II;KD29;;mr. J. Heemskerk Bzn.;5
Amsterdam III;KD30;Kiesgerechtigden;;461
Amsterdam III;KD30;Opkomst;;370
Amsterdam III;KD30;AantalStembriefjes;;370
Amsterdam III;KD30;AantalGeldigeStemmen;;362
Amsterdam III;KD30;AantalBlancoStemmen;;3
Amsterdam III;KD30;;mr. F.A.van Hall;203
Amsterdam III;KD30;;P. Bruining;109
Amsterdam III;KD30;;mr. J. Heemskerk Bzn.;5
Amsterdam III;KD30;;mr.dr. J.J. Teding van Berkhout;5
Amsterdam IV;KD31;Kiesgerechtigden;;437
Amsterdam IV;KD31;Opkomst;;340
Amsterdam IV;KD31;AantalStembriefjes;;340
Amsterdam IV;KD31;AantalGeldigeStemmen;;333
Amsterdam IV;KD31;AantalBlancoStemmen;;2
Amsterdam IV;KD31;;mr. J.S.van Naamen;170
Amsterdam IV;KD31;;P.C. Gülcher;64
Amsterdam IV;KD31;;D.D. Büchler;57
Amsterdam IV;KD31;;mr. F.A.van Hall;7
Amsterdam IV;KD31;;mr. J. Heemskerk Bzn.;5
Amsterdam IV;KD31;;mr. W.J.C.van Hasselt;5
Amsterdam V;KD32;Kiesgerechtigden;;564
Amsterdam V;KD32;Opkomst;;428
Amsterdam V;KD32;AantalStembriefjes;;428
Amsterdam V;KD32;AantalGeldigeStemmen;;423
Amsterdam V;KD32;AantalBlancoStemmen;;2
Amsterdam V;KD32;;mr. J. Heemskerk Bzn.;186
Amsterdam V;KD32;;mr. J.S.van Naamen;130
Amsterdam V;KD32;;mr. W.J.C.van Hasselt;25
Amsterdam V;KD32;;J.F. Broms;11
Amsterdam V;KD32;;jhr.mr. C. Backer;10
Amsterdam V;KD32;;mr. F.A.van Hall;7
Amsterdam V;KD32;;C.J.de Bruyn Kops;6
Appingedam;KD3;Kiesgerechtigden;;1586
Appingedam;KD3;Opkomst;;865
Appingedam;KD3;AantalStembriefjes;;865
Appingedam;KD3;AantalGeldigeStemmen;;860
Appingedam;KD3;AantalBlancoStemmen;;4
Appingedam;KD3;;mr. B. Wichers;542
Appingedam;KD3;;P.W. Wiertsema;116
Appingedam;KD3;;W. Waalkens;84
Appingedam;KD3;;G. Reinders;57
Appingedam;KD3;;J.F. Zijlker;21
Arnhem;KD17;Kiesgerechtigden;;949
Arnhem;KD17;Opkomst;;851
Arnhem;KD17;AantalStembriefjes;;851
Arnhem;KD17;AantalGeldigeStemmen;;824
Arnhem;KD17;AantalBlancoStemmen;;2
Arnhem;KD17;;mr. J.T.H. Nedermeyer ridder van Rosenthal;432
Arnhem;KD17;;mr. W.H. Dullert;330
Arnhem;KD17;;mr. J.van 's Gravenweert;16
Arnhem;KD17;;J. Backer;16
Assen;KD5;Kiesgerechtigden;;973
Assen;KD5;Opkomst;;835
Assen;KD5;AantalStembriefjes;;835
Assen;KD5;AantalGeldigeStemmen;;828
Assen;KD5;AantalBlancoStemmen;;3
Assen;KD5;;mr. J.T. Homan;245
Assen;KD5;;mr. L.graaf van Heiden Reinestein;181
Assen;KD5;;mr. P.van der Veen;114
Assen;KD5;;mr. G. Kniphorst;47
Assen;KD5;;mr. L. Oldenhuis Gratama;39
Assen;KD5;;mr. P.W.A. Grevelink;32
Assen;KD5;;mr. J. Tonckens;32
Assen;KD5;;mr. C. Hiddingh;29
Assen;KD5;;jhr.mr. H.J.L.van der Wijck;15
Bergen op Zoom;KD63;Kiesgerechtigden;;1193
Bergen op Zoom;KD63;Opkomst;;905
Bergen op Zoom;KD63;AantalStembriefjes;;905
Bergen op Zoom;KD63;AantalGeldigeStemmen;;900
Bergen op Zoom;KD63;AantalBlancoStemmen;;5
Bergen op Zoom;KD63;;mr. L.D. Storm;525
Bergen op Zoom;KD63;;mr. P. Gouverneur;327
Bergen op Zoom;KD63;;M.W. Pastoors;28
Bergen op Zoom;KD63;;J.E.van Gorkum;13
Breda;KD61;Kiesgerechtigden;;1184
Breda;KD61;Opkomst;;967
Breda;KD61;AantalStembriefjes;;967
Breda;KD61;AantalGeldigeStemmen;;966
Breda;KD61;AantalBlancoStemmen;;1
Breda;KD61;;mr. L.D. Storm;819
Breda;KD61;;mr. P. Gouverneur;125
Brielle;KD50;Kiesgerechtigden;;845
Brielle;KD50;Opkomst;;681
Brielle;KD50;AantalStembriefjes;;681
Brielle;KD50;AantalGeldigeStemmen;;677
Brielle;KD50;AantalBlancoStemmen;;2
Brielle;KD50;;mr. S.H. Anemaet;614
Brielle;KD50;;mr. J.R. Thorbecke;10
Brielle;KD50;;W.P. Jonas;9
Delft;KD45;Kiesgerechtigden;;826
Delft;KD45;Opkomst;;760
Delft;KD45;AantalStembriefjes;;760
Delft;KD45;AantalGeldigeStemmen;;759
Delft;KD45;AantalBlancoStemmen;;0
Delft;KD45;;mr. H.A.A.van Berckel;300
Delft;KD45;;mr. W. Wintgens;259
Delft;KD45;;C. Hoekwater;131
Delft;KD45;;D.van Koetsveld;38
Delft;KD45;;mr. R.J.C. Metelerkamp;16
Deventer;KD14;Kiesgerechtigden;;849
Deventer;KD14;AantalStembriefjes;;742
Deventer;KD14;Opkomst;;741
Deventer;KD14;AantalGeldigeStemmen;;740
Deventer;KD14;AantalBlancoStemmen;;1
Deventer;KD14;;jhr. C.M. Storm van 's Gravesande;397
Deventer;KD14;;mr. J.R. Thorbecke;218
Deventer;KD14;;mr. A.J. Duymaer van Twist;112
Doetinchem;KD21;Kiesgerechtigden;;615
Doetinchem;KD21;Opkomst;;590
Doetinchem;KD21;AantalStembriefjes;;590
Doetinchem;KD21;AantalGeldigeStemmen;;588
Doetinchem;KD21;AantalBlancoStemmen;;1
Doetinchem;KD21;;mr. J.T.H. Nedermeyer ridder van Rosenthal;274
Doetinchem;KD21;;jhr. J.A.C.A.van Nispen van Sevenaer;248
Doetinchem;KD21;;jhr. C.E.J.F.van Nispen van Pannerden;55
Dokkum;KD8;Kiesgerechtigden;;984
Dokkum;KD8;Opkomst;;650
Dokkum;KD8;AantalStembriefjes;;650
Dokkum;KD8;AantalGeldigeStemmen;;645
Dokkum;KD8;AantalBlancoStemmen;;5
Dokkum;KD8;;mr. B. Albarda;341
Dokkum;KD8;;I.T.ter Brugghen Hugenholtz;257
Dokkum;KD8;;I.da Costa;18
Dordrecht;KD42;Kiesgerechtigden;;707
Dordrecht;KD42;Opkomst;;574
Dordrecht;KD42;AantalStembriefjes;;574
Dordrecht;KD42;AantalGeldigeStemmen;;570
Dordrecht;KD42;AantalBlancoStemmen;;2
Dordrecht;KD42;;mr. J.R. Thorbecke;259
Dordrecht;KD42;;mr. J.S. Lotsy;204
Dordrecht;KD42;;mr. P. Blussé van Oud-Alblas;54
Dordrecht;KD42;;mr. J. Crans;20
Dordrecht;KD42;;jhr.mr. J.de Bosch Kemper;9
Dordrecht;KD42;;mr. J.C. Faber van Riemsdijk;8
Edam;KD36;Kiesgerechtigden;;836
Edam;KD36;Opkomst;;718
Edam;KD36;AantalStembriefjes;;718
Edam;KD36;AantalGeldigeStemmen;;713
Edam;KD36;AantalBlancoStemmen;;2
Edam;KD36;;mr. W.J.C.van Hasselt;582
Edam;KD36;;jhr.mr. C. Backer;74
Edam;KD36;;mr. C.P.L. Brugmans;20
Edam;KD36;;mr. Æ.baron van Mackay;11
Edam;KD36;;van Ghert;10
Eindhoven;KD60;Kiesgerechtigden;;708
Eindhoven;KD60;Opkomst;;581
Eindhoven;KD60;AantalStembriefjes;;581
Eindhoven;KD60;AantalGeldigeStemmen;;576
Eindhoven;KD60;AantalBlancoStemmen;;4
Eindhoven;KD60;;J.F.van der Heyde;414
Eindhoven;KD60;;jhr.mr. J.O.de Jong van Beek en Donk;144
Elst;KD22;Kiesgerechtigden;;913
Elst;KD22;Opkomst;;835
Elst;KD22;AantalStembriefjes;;835
Elst;KD22;AantalGeldigeStemmen;;833
Elst;KD22;AantalBlancoStemmen;;1
Elst;KD22;;mr. A.W. Engelen;478
Elst;KD22;;mr. M.J.de Man;283
Elst;KD22;;mr. W.baron van Lynden;31
Elst;KD22;;van Voorst;27
Enschede;KD16;Kiesgerechtigden;;532
Enschede;KD16;AantalStembriefjes;;487
Enschede;KD16;Opkomst;;486
Enschede;KD16;AantalGeldigeStemmen;;485
Enschede;KD16;AantalBlancoStemmen;;1
Enschede;KD16;;jhr. C.M. Storm van 's Gravesande;261
Enschede;KD16;;mr. H.van Sonsbeeck;215
Franeker;KD11;Kiesgerechtigden;;1158
Franeker;KD11;Opkomst;;845
Franeker;KD11;AantalStembriefjes;;845
Franeker;KD11;AantalGeldigeStemmen;;841
Franeker;KD11;AantalBlancoStemmen;;3
Franeker;KD11;;mr. B. Albarda;555
Franeker;KD11;;mr. U.A. Everts;166
Franeker;KD11;;mr. G. Groen van Prinsterer;50
Franeker;KD11;;mr. J. Dirks;16
Goes;KD53;Kiesgerechtigden;;739
Goes;KD53;Opkomst;;607
Goes;KD53;AantalStembriefjes;;607
Goes;KD53;AantalGeldigeStemmen;;598
Goes;KD53;AantalBlancoStemmen;;9
Goes;KD53;;mr. P.J. Bachiene;259
Goes;KD53;;mr. J.J.van Deinse;246
Goes;KD53;;R.B.van den Bosch;23
Goes;KD53;;A. Kakebeeke;8
Goes;KD53;;jhr. W. Versluijs;8
Gorinchem;KD41;Kiesgerechtigden;;1083
Gorinchem;KD41;Opkomst;;885
Gorinchem;KD41;AantalStembriefjes;;885
Gorinchem;KD41;AantalGeldigeStemmen;;879
Gorinchem;KD41;AantalBlancoStemmen;;4
Gorinchem;KD41;;mr. A. Boxman;690
Gorinchem;KD41;;mr. P.L. Begram van Jaarsveld;116
Gorinchem;KD41;;mr. J.S. Lotsy;19
Gorinchem;KD41;;mr. G.M.van der Linden;14
Gorinchem;KD41;;mr. Æ.baron van Mackay;12
Gouda;KD40;Kiesgerechtigden;;818
Gouda;KD40;Opkomst;;644
Gouda;KD40;AantalStembriefjes;;644
Gouda;KD40;AantalGeldigeStemmen;;635
Gouda;KD40;AantalBlancoStemmen;;1
Gouda;KD40;;mr. G.M.van der Linden;131
Gouda;KD40;;mr. J.R. Thorbecke;115
Gouda;KD40;;mr. Æ.baron van Mackay;109
Gouda;KD40;;A.van Rijckevorsel Hz.;97
Gouda;KD40;;mr. D. Donker Curtius;87
Gouda;KD40;;mr. L. Luzac;33
Gouda;KD40;;mr. J.S.van Naamen;22
Gouda;KD40;;jhr.mr. W.T. Gevers Deynoot;11
Grave;KD56;Kiesgerechtigden;;959
Grave;KD56;Opkomst;;767
Grave;KD56;AantalStembriefjes;;767
Grave;KD56;AantalGeldigeStemmen;;763
Grave;KD56;AantalBlancoStemmen;;0
Grave;KD56;;mr. J.B.J. Hengst;412
Grave;KD56;;R.J.N. Walter;242
Grave;KD56;;mr. J.L.A. Luyben;88
Groningen;KD1;Kiesgerechtigden;;1191
Groningen;KD1;Opkomst;;838
Groningen;KD1;AantalStembriefjes;;838
Groningen;KD1;AantalGeldigeStemmen;;836
Groningen;KD1;AantalBlancoStemmen;;0
Groningen;KD1;;mr. B. Wichers;700
Groningen;KD1;;W.L.de Sturler;34
Groningen;KD1;;mr. A. Oudeman;22
Groningen;KD1;;L.T. Jorissen;21
Groningen;KD1;;jhr.mr. O.Q.J.J.van Swinderen;14
Haarlem;KD33;Kiesgerechtigden;;626
Haarlem;KD33;Opkomst;;524
Haarlem;KD33;AantalGeldigeStemmen;;524
Haarlem;KD33;AantalStembriefjes;;524
Haarlem;KD33;AantalBlancoStemmen;;0
Haarlem;KD33;;mr. W.H.van Voorst;449
Haarlem;KD33;;mr. C.F. Geulger;14
Haarlem;KD33;;mr. P. Elias;10
Haarlem;KD33;;J. Leijen;9
Haarlem;KD33;;mr. C. Diemont;9
Harderwijk;KD18;Kiesgerechtigden;;680
Harderwijk;KD18;Opkomst;;601
