Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;9543
Alkmaar;KD34;Opkomst;;8621
Alkmaar;KD34;AantalStembriefjes;;8621
Alkmaar;KD34;AantalGeldigeStemmen;;8564
Alkmaar;KD34;AantalBlancoStemmen;;57
Alkmaar;KD34;;J.H. Blum;3420
Alkmaar;KD34;;jhr.mr. P.van Foreest;3275
Alkmaar;KD34;;F.C.J. Netscher;1509
Alkmaar;KD34;;mr. M. Mendels;360
Almelo;KD15;Kiesgerechtigden;;9324
Almelo;KD15;Opkomst;;8091
Almelo;KD15;AantalStembriefjes;;8091
Almelo;KD15;AantalGeldigeStemmen;;7843
Almelo;KD15;AantalBlancoStemmen;;248
Almelo;KD15;;mr. P.J.M. Aalberse;5217
Almelo;KD15;;mr. I.A. Levy;1907
Almelo;KD15;;J.F. Tijhof;719
Amersfoort;KD26;Kiesgerechtigden;;9416
Amersfoort;KD26;Opkomst;;8568
Amersfoort;KD26;AantalStembriefjes;;8568
Amersfoort;KD26;AantalGeldigeStemmen;;8516
Amersfoort;KD26;AantalBlancoStemmen;;52
Amersfoort;KD26;;jhr.mr. H.W.van Asch van Wijck;4485
Amersfoort;KD26;;mr. W.H.de Beaufort;3592
Amersfoort;KD26;;F.van der Goes;330
Amersfoort;KD26;;A.P. Staalman;109
Amsterdam I;KD28;Kiesgerechtigden;;4996
Amsterdam I;KD28;Opkomst;;3744
Amsterdam I;KD28;AantalStembriefjes;;3744
Amsterdam I;KD28;AantalGeldigeStemmen;;3666
Amsterdam I;KD28;AantalBlancoStemmen;;78
Amsterdam I;KD28;;dr. H.F.R. Hubrecht;2085
Amsterdam I;KD28;;D. Schut;1256
Amsterdam I;KD28;;S.J. Pothuis;325
Amsterdam II;KD29;Kiesgerechtigden;;3481
Amsterdam II;KD29;Opkomst;;2584
Amsterdam II;KD29;AantalStembriefjes;;2584
Amsterdam II;KD29;AantalGeldigeStemmen;;2508
Amsterdam II;KD29;AantalBlancoStemmen;;76
Amsterdam II;KD29;;dr. J.T.de Visser;1177
Amsterdam II;KD29;;dr. C. Lely;722
Amsterdam II;KD29;;mr. M. Mendels;609
Amsterdam III;KD30;Kiesgerechtigden;;10163
Amsterdam III;KD30;Opkomst;;8108
Amsterdam III;KD30;AantalStembriefjes;;8108
Amsterdam III;KD30;AantalGeldigeStemmen;;7948
Amsterdam III;KD30;AantalBlancoStemmen;;160
Amsterdam III;KD30;;mr. P.J. Troelstra;3837
Amsterdam III;KD30;;K. Eland;2056
Amsterdam III;KD30;;A.S. Talma;1926
Amsterdam III;KD30;;A.P. Staalman;129
Amsterdam IV;KD31;Kiesgerechtigden;;3939
Amsterdam IV;KD31;Opkomst;;2908
Amsterdam IV;KD31;AantalStembriefjes;;2908
Amsterdam IV;KD31;AantalGeldigeStemmen;;2826
Amsterdam IV;KD31;AantalBlancoStemmen;;82
Amsterdam IV;KD31;;J.W. Ijzerman;1680
Amsterdam IV;KD31;;J. Loopuit;683
Amsterdam IV;KD31;;mr. H.W. Hovy;463
Amsterdam IX;KD115;Kiesgerechtigden;;12748
Amsterdam IX;KD115;Opkomst;;9731
Amsterdam IX;KD115;AantalStembriefjes;;9731
Amsterdam IX;KD115;AantalGeldigeStemmen;;9559
Amsterdam IX;KD115;AantalBlancoStemmen;;172
Amsterdam IX;KD115;;mr. C.T.van Deventer;3678
Amsterdam IX;KD115;;H. Bijleveld;3456
Amsterdam IX;KD115;;J.G.van Kuykhof;2318
Amsterdam IX;KD115;;T.B.V. Dill;107
Amsterdam V;KD32;Kiesgerechtigden;;10594
Amsterdam V;KD32;Opkomst;;8101
Amsterdam V;KD32;AantalStembriefjes;;8101
Amsterdam V;KD32;AantalGeldigeStemmen;;7964
Amsterdam V;KD32;AantalBlancoStemmen;;137
Amsterdam V;KD32;;T.M. Ketelaar;3993
Amsterdam V;KD32;;mr. G.A.P.M.van der Aa;2495
Amsterdam V;KD32;;A.H. Gerhard;1476
Amsterdam VI;KD112;Kiesgerechtigden;;5505
Amsterdam VI;KD112;Opkomst;;4450
Amsterdam VI;KD112;AantalStembriefjes;;4450
Amsterdam VI;KD112;AantalGeldigeStemmen;;4391
