RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;15876;
Nederland;L528;AantalGeldigeStemmen;;10516041;
Nederland;L528;AantalOngeldigeStemmen;;31539;
Nederland;L528;Kiesgerechtigden;;12950685;
Nederland;L528;Opkomst;;10563456;
Nederland;L528;;VVD;2238351;33
Nederland;L528;;PVV (Partij voor de Vrijheid);1372941;20
Nederland;L528;;CDA;1301796;19
Nederland;L528;;Democraten 66 (D66);1285819;19
Nederland;L528;;GROENLINKS;959600;14
Nederland;L528;;SP (Socialistische Partij);955633;14
Nederland;L528;;Partij van de Arbeid (P.v.d.A.);599699;9
Nederland;L528;;ChristenUnie;356271;5
Nederland;L528;;Partij voor de Dieren;335214;5
Nederland;L528;;50PLUS;327131;4
Nederland;L528;;Staatkundig Gereformeerde Partij (SGP);218950;3
Nederland;L528;;DENK;216147;3
Nederland;L528;;Forum voor Democratie;187162;2
Nederland;L528;;VNL (VoorNederland);38209;
Nederland;L528;;Piratenpartij;35478;
Nederland;L528;;Artikel 1;28700;
Nederland;L528;;NIEUWE WEGEN;14362;
Nederland;L528;;OndernemersPartij;12570;
Nederland;L528;;Lokaal in de Kamer;6858;
Nederland;L528;;Niet Stemmers;6025;
Nederland;L528;;De Burger Beweging;5221;
Nederland;L528;;GeenPeil;4945;
Nederland;L528;;JEZUS LEEFT;3099;
Nederland;L528;;Vrijzinnige Partij;2938;
Nederland;L528;;Libertarische Partij (LP);1492;
Nederland;L528;;MenS en Spirit / Basisinkomen Partij / V-R;726;
Nederland;L528;;StemNL;527;
Nederland;L528;;Vrije Democratische Partij (VDP);177;
