RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Liberale Unie;CHU 1;Vrijzinnig-Democratische Bond (VDB);Economische Bond;Bond van Vrije Liberalen 1;Sociaal-Democratische Partij (SDP);Middenstandspartij;Christen-Democratische Partij;CHU 2;Socialistische Partij (SOPA);Bond van Vrije Liberalen 2;Bond van Christen-Socialisten;Christelijk-Sociale Partij;Neutrale Partij;Verbond Democratisering Weermacht;Algemene Staatspartij;Politie Partij;Plattelandersbond (links);Staatkundig Gereformeerde Partij (SGP);Plattelandersbond (rechts);Algemeen Vrijzinnige Partij;Groep Van der Zwaag;Groep Alberda;Groep Kuiper;Amsterdamse Politie- en Brandweerpartij;Nationale Bond van Protestantse Kiezers;Unionisten-Liga (Volkswelvaartspartij);Neutrale en Koloniale Bond;Volkspartij;Groep Stoffel;Groep Braam
Aagtekerke;G1000;10531;Zeeland;P29;180;171;0;;171;;2;74;6;;17;3;;;;;;;4;1;;;;;3;;61;;;;;;;;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;1495;1380;0;;1380;210;242;288;426;60;15;24;5;23;6;10;4;2;2;29;4;5;4;10;3;;;;;;;;;3;5;;;;
Aalst;G1001;11423;Noord-Brabant;P30;206;199;0;;199;196;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
Aalten;G0197;11046;Gelderland;P25;2234;2083;0;;2083;323;226;882;190;10;67;29;26;3;15;7;6;;12;23;242;1;6;8;7;;;;;;;;;;;;;;
Aardenburg;G0648;11020;Zeeland;P29;477;456;0;;456;230;35;23;145;1;;8;1;1;4;;;;2;;;;;3;2;;1;;;;;;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;452;440;0;;440;417;;;1;;;2;6;3;8;;;;;;1;2;;;;;;;;;;;;;;;;;
Abbekerk;G0359;10439;Noord-Holland;P27;197;189;0;;189;49;30;1;81;2;7;4;1;;1;;;;;13;;;;;;;;;;;;;;;;;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;173;167;0;;167;;85;9;23;1;7;4;9;4;;1;5;;3;;;;;;;10;;3;3;;;;;;;;;;
Abcoude-Baambrugge;G1003;11184;Utrecht;P26;376;353;0;;353;89;3;97;4;81;22;15;14;3;1;1;;;5;3;4;2;1;4;;;;4;;;;;;;;;;;
Abcoude-Proostdij;G1004;10712;Utrecht;P26;393;375;0;;375;189;4;43;7;96;9;5;8;3;;1;;;6;;;;1;2;1;;;;;;;;;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;3252;2978;0;;2978;5;758;1309;227;347;126;18;;7;;5;13;4;8;14;40;15;4;30;9;8;;4;;12;12;3;;;;;;;
Achttienhoven;G1005;10524;Utrecht;P26;155;134;0;;134;27;2;45;;57;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
Adorp;G0001;10996;Groningen;P20;334;310;0;;310;;18;161;20;14;55;12;5;5;3;3;;;12;;1;;;;;;;1;;;;;;;;;;;
Aduard;G0002;10999;Groningen;P20;471;440;0;;440;4;97;162;4;15;104;18;2;4;5;3;;1;9;4;1;1;;;4;2;;;;;;;;;;;;;
Aengwirden;G1006;10157;Fryslân;P21;1087;964;0;;964;48;492;70;16;65;93;12;11;2;;3;;;17;9;2;18;3;4;13;15;;2;;54;12;3;;;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;436;411;0;;411;215;15;2;51;7;76;5;9;1;;1;1;;;19;;;3;;1;1;;4;;;;;;;;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;1487;1335;0;;1335;10;426;408;62;283;40;16;18;10;4;1;6;1;4;2;3;3;;;;2;;34;;;;;;;;;2;;
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;344;316;0;;316;290;6;1;;;;;5;1;10;;;;;;;1;;;2;;;;;;;;;;;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;1149;1088;0;;1088;825;4;110;9;45;18;4;3;2;;1;4;3;;;40;;;2;13;5;;;;;;;;;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;5842;5048;0;;5048;1659;861;180;463;324;389;308;364;31;36;34;6;33;;205;4;66;19;10;35;6;;8;;;;;;;7;;;;
Almelo;G0141;11053;Overijssel;P23;5458;4630;0;;4630;924;1468;345;275;265;161;266;211;78;44;11;122;115;31;23;104;47;6;28;33;39;12;22;;;;;;;;;;;
Almkerk;G0740;10788;Noord-Brabant;P30;850;783;0;;783;11;41;559;2;44;20;32;54;3;;3;2;;;;2;2;;2;6;;;;;;;;;;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;3262;2969;0;;2969;622;253;858;271;557;144;44;18;11;10;14;28;5;;5;11;8;15;2;27;50;;8;8;;;;;;;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;486;473;0;;473;464;1;1;;;;2;;1;;;;;;;;;;;4;;;;;;;;;;;;;;
