RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;CHU 2;Vrijheidsbond 1;Vrijzinnig-Democratische Bond (VDB);Vrijheidsbond 2;Communistische Partij van Nederland;CHU 1;Plattelandersbond (links);Vrijheidsbond 3;HGSP;Staatkundig Gereformeerde Partij (SGP);Christen-Democratische Partij;Christelijk-Sociale Partij;Lijsten Arts;Liberale Groep;Onafhankelijke Partij;Nieuwe Katholieke Partij;Socialistische Partij (SOPA);Nederlandse Bond van Belastingbetalers;Volkswelvaartspartij;Plattelandspartij;Rapaille-partij;Plattelandersbond (rechts);Democratische Partij;Neutraal Blok Middenstanders;Bezuinigingsbond;Lijsten Van der Zwaag;Algemene Nederlandse Vrouwenorganisatie;Kunstenaarspartij;Patricidrsbond;Christelijke Volkspartij;Lijst Groenendaal;Grondpartij;Plattelandersbond (rk);Vrijdenkers;Huiseigenarenpartij;Kiesvereniging Aller Belang;Vrije Middenstandspartij;Partij voor Pensioenbelangen;Lijst Bleeker;Kleine Middenstandspartij;Lijst Van der Werf;Vaderlandsche partij;Lijst Verweij;Lijst De Ruyter Gz.;Lijst Brinkman;Revolutionaire partij;Lijsten Braam;Lijst Busch
Aalsmeer;G0358;11264;Noord-Holland;P27;3168;2965;48;;2917;469;449;502;333;752;64;48;36;7;14;4;6;44;30;6;;10;3;;4;36;;10;6;10;4;4;2;1;44;7;2;1;;;1;;7;;;;;;;;;;;;1;
Aalst;G1001;11423;Noord-Brabant;P30;456;443;5;9;429;408;5;2;;;;4;;;;;;1;;;3;;;4;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Aalten;G0197;11046;Gelderland;P25;4609;4396;27;62;4307;695;329;1859;526;205;319;14;12;17;11;6;7;;8;268;;4;1;6;1;3;;;;4;3;;3;1;;;4;;;;1;;;;;;;;;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;988;924;;;924;858;4;2;1;2;7;7;3;;;;;1;4;;4;7;2;9;2;4;;3;;1;;;;1;;;2;;;;;;;;;;;;;;;;;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;357;318;;;318;;129;20;4;39;5;3;1;;78;;;;3;1;;8;15;1;1;;1;1;;4;1;;;;;;;1;;;2;;;;;;;;;;;;;;;
Abcoude-Baambrugge;G1003;11184;Utrecht;P26;777;721;12;3;;178;18;202;187;28;23;3;2;10;4;1;11;1;2;2;;6;3;3;;;3;2;;12;3;;;;1;;1;;;;;;;;;;;;;;;;;;;
Abcoude-Proostdij;G1004;10712;Utrecht;P26;824;0;;;;383;25;74;;;24;;5;;;;8;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;6575;6167;104;;6063;2;1015;2804;18;10;579;309;12;897;70;7;9;2;8;164;;15;7;2;4;15;5;35;9;34;6;9;;9;;;;;;5;2;;;;;;;;;;;;;;;
Achttienhoven;G1005;10524;Utrecht;P26;304;0;;;;58;;64;;;;;2;;;;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aengwirden;G1006;10157;Fryslân;P21;2186;1988;34;;1954;102;830;202;4;5;68;77;2;161;11;8;8;1;10;13;;6;8;;2;5;4;381;3;3;4;4;;32;;;;;;;;;;;;;;;;;;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;;1629;;;1629;738;320;11;36;38;261;7;86;;16;;1;;15;;;2;;13;3;3;;17;11;1;4;4;2;;26;6;1;3;;;;;;;;;;;;;;;;;4;
Alblasserdam;G0482;11327;Zuid-Holland;P28;2944;2643;;;2643;3;439;496;1192;63;18;8;4;62;15;4;38;119;7;;;18;9;2;4;6;5;2;;106;5;2;;;;5;;1;;;5;;;;;;;;;;;5;;;;
