RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Groep Staalman-ter Hall;Rooms-Katholieke Volkspartij (RKVP);Plattelandersbond (Braat);Communistische Partij van Nederland;HGSP;Middenstandspartij;Plattelandersbond (De Boer);Protestantsche Volkspartij;Christen-democraten;Vaderlandsch Verbond;Revolutionair arbeiderscomitT;Democratische Partij;Socialistische Partij (SOPA);Rapaille-partij;Sport-partij;Bezuinigingspartij;Vrijdenkers;Actualisten;Pensioenactie;Grondpartij;Landbouwpartij;Premievrij Staatspensioen;Nieuwe Nationale Partij;Wilde Partij;Rentetrekkers;Vrijzinnige Christenpartij
Aagtekerke;G1000;10531;Zeeland;P29;363;334;3;1;330;;3;132;11;24;5;141;1;;8;;1;;;;;1;;;;;;1;1;1;;;;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;3422;3149;;;3149;496;603;507;368;821;125;80;35;5;23;18;5;6;4;15;13;;8;10;3;;;1;;3;;;;;;;;
Aalten;G0197;11046;Gelderland;P25;4840;4646;123;;4523;673;427;1833;704;204;402;2;;18;9;;11;5;3;197;3;20;;9;;;;3;;;;;;;;;;
Aardenburg;G0648;11020;Zeeland;P29;1097;1045;25;;1020;503;91;59;22;163;54;8;;12;16;3;1;;4;;1;2;;78;;;;;1;2;;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;1034;1016;21;;995;930;12;3;2;6;5;;5;19;;;;2;;;1;1;;;;;;1;;;;;;8;;;;
Abcoude-Baambrugge;G1003;11184;Utrecht;P26;779;718;11;;707;167;27;187;206;32;35;16;6;;11;1;2;;9;6;;1;;1;;;;;;;;;;;;;;
Abcoude-Proostdij;G1004;10712;Utrecht;P26;827;780;8;;772;395;31;80;187;13;31;7;6;1;10;;5;1;;3;;;;1;1;;;;;;;;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;6769;6343;202;;6141;12;1078;2782;998;232;621;31;3;8;79;18;21;8;43;76;10;56;1;18;4;;30;3;;3;;5;;;1;;;
Achttienhoven;G1005;10524;Utrecht;P26;336;303;;;303;57;2;66;113;4;;28;;;14;1;10;2;;;2;3;;;;;;;;1;;;;;;;;
Aengwirden;G1006;10157;Fryslân;P21;2310;2079;73;;2006;108;938;178;188;53;256;4;10;9;138;20;8;8;20;27;9;11;;;9;;9;2;;;;1;;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;877;778;;;778;453;42;;11;10;197;;3;3;3;2;;;42;;;;2;1;8;;;;1;;;;;;;;;
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;614;573;8;;565;522;12;;4;3;3;;2;11;1;;;5;;;;;;;;;;;;;;;;2;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;2368;2245;22;;2223;1768;25;190;148;18;25;3;2;10;5;;6;8;2;3;2;1;3;1;3;;;;;;;;;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;14537;13441;439;;13002;3852;3677;544;890;955;1797;39;444;322;54;39;7;35;42;15;32;17;85;37;11;;;58;41;4;;2;;;3;;;
Almelo;G0141;11053;Overijssel;P23;13473;11911;;;11911;2009;3698;1009;1204;650;645;100;186;287;78;1105;21;56;213;431;27;38;13;28;113;;;;;;;;;;;;;
Almkerk;G0740;10788;Noord-Brabant;P30;1747;1567;30;;1537;9;42;1020;323;34;13;20;2;2;25;2;10;2;;;1;22;;1;;1;;;;;;;;8;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;7272;6778;126;;6652;1406;518;1599;1963;431;123;340;67;12;56;6;22;8;25;9;12;14;12;10;11;;;6;;;2;;;;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;1030;1000;;;1000;982;4;;;2;;;;11;;;;1;;;;;;;;;;;;;;;;;;;;
