RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Revolutionair-Socialistische Partij (RSP);Plattelandersbond;Rooms-Katholieke Volkspartij (RKVP);Christelijk-Democratische Unie;HGSP;VNH;Onafhankelijk Socialistische Partij;Katholiek Democratische Bond;Algemeen Nederlandse Fascistenbond;Democratische Partij;Nationaal Verbond Plicht, Orde, Recht;Nederlandse Christelijke Arbeiderspartij;Limburgsche Federatie;Verbond van Nationalisten;Roomsch-Katholieke Arbeiderspartij (RKAP);Recht en Vrijheid;Marktkooplieden;Lijst Wolswinkel;Onafhankelijke Zakenlui;Nationaal-Socialistische Partij;Nederlandsche Fascisten Unie;Lijst Jacobs;RK Bouwvakarbeiders;Handeldrijvende Middenstand;Volkswelvaartspartij;Bond van Belastingbetalers;Lijst Eijking;Nieuwe Socialistische Partij;Lijst Engels;Hoofd- en handarbeiders;Nationaal Verbond voor Arbeidersbelangen;Lijst Bongers;Lijst De Wit;Voor Algemeen Welzijn;Zuiderzee Partij;Algemeene Nederlandse Huurdersbond;Oranjefascisten;Universeele Partij;Nationale Werkliedenpartij;Anti-crisis Partij;Proletarische Groep;Centrale Democratische Arbeiderspartij;Lijst Triesscheijn;Opbouw en Verbroedering;Algemeene Arbeidersbond;Lijst Groothuis
Aagtekerke;G1000;10531;Zeeland;P29;400;362;8;0;354;;;98;49;17;;;179;;5;;;;3;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;4748;4539;29;63;4447;756;931;790;634;830;201;77;96;10;19;6;22;11;9;12;4;;11;3;1;;1;;;;1;8;4;3;;;;;;;;;7;;;;;;;;;;;;;;;;
Aalten;G0197;11046;Gelderland;P25;5419;5217;44;97;5076;751;531;2052;1001;171;267;18;1;4;128;12;63;19;3;8;3;5;12;3;;;13;;;;8;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;
Aardenburg;G0648;11020;Zeeland;P29;1154;1095;8;45;1042;486;167;76;24;96;136;1;23;1;2;2;2;;5;5;9;2;2;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;1161;1122;7;4;1111;1031;27;2;10;9;;;3;;;7;;;;;2;;7;1;4;;1;;;;;;3;;;;;;;;;4;;;;;;;;;;;;;;;;;
Abbekerk;G0359;10439;Noord-Holland;P27;431;414;0;2;412;133;108;12;8;57;66;;;;20;;1;;;2;;;;;;;;;;;;;;;;;;;;1;;;;;;4;;;;;;;;;;;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;384;366;2;8;356;2;137;30;22;47;24;6;2;;46;;10;;3;;1;24;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abcoude-Baambrugge;G1003;11184;Utrecht;P26;817;774;4;5;765;192;28;177;244;34;13;3;24;4;13;;4;13;3;1;5;;1;3;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Abcoude-Proostdij;G1004;10712;Utrecht;P26;825;790;4;10;776;386;62;81;181;19;8;2;11;2;6;;3;4;;;1;;6;2;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;7225;6857;72;114;6671;10;1273;2900;922;179;523;112;34;8;20;11;385;17;3;23;4;4;38;2;168;;28;;3;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;
