RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;Staatkundig Gereformeerde Partij (SGP);Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij
Aagtekerke;G1000;10531;Zeeland;P29;410;367;1;2;364;;;86;56;15;2;21;;;179;;;;;2;;;1;2;
Aalsmeer;G0358;11264;Noord-Holland;P27;5228;5047;54;25;4968;880;1083;1058;579;410;311;420;94;42;77;1;;3;;4;5;;;;1
Aalten;G0197;11046;Gelderland;P25;5754;5537;100;108;5329;774;465;2229;1082;283;294;70;11;81;2;;8;14;1;2;6;1;4;2;
Aardenburg;G0648;11020;Zeeland;P29;1189;1117;23;29;1065;535;122;112;11;197;24;35;5;3;8;1;;2;;2;2;;5;1;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;1224;1179;14;5;1160;1072;8;10;7;3;20;10;;2;;;3;1;21;;2;;;1;
Abbekerk;G0359;10439;Noord-Holland;P27;406;383;3;1;379;129;69;9;11;90;5;39;4;8;;;;;;;;;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;404;382;7;7;368;;146;33;9;60;40;50;8;10;3;1;;;;1;;2;5;;
Abcoude-Baambrugge;G1003;11184;Utrecht;P26;843;792;3;11;778;173;37;210;230;30;49;10;4;16;11;;;1;;6;;;1;;
Abcoude-Proostdij;G1004;10712;Utrecht;P26;867;811;7;4;800;385;47;121;179;13;35;5;3;1;6;;2;2;;1;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;7713;7320;123;92;7105;25;1215;3108;912;511;27;184;133;902;28;6;2;18;;1;28;1;4;;
Achttienhoven;G1005;10524;Utrecht;P26;397;371;2;13;356;63;26;103;99;4;12;4;1;;39;2;;1;;2;;;;;
Adorp;G0001;10996;Groningen;P20;795;745;3;7;735;4;52;373;37;73;35;58;3;89;;;;4;;;5;1;;1;
Aduard;G0002;10999;Groningen;P20;1119;1061;12;8;1041;7;156;499;54;132;32;88;9;49;;;;3;;;8;3;1;;
Akersloot;G0360;10346;Noord-Holland;P27;982;938;0;13;925;551;88;26;15;144;29;23;6;7;2;9;3;5;;;3;;14;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;3384;3107;19;72;3016;27;767;541;562;60;91;401;11;3;503;;;;;;;;;;
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;611;579;4;4;571;509;8;1;;;;;;;4;;2;;44;;;1;2;;
Alkemade;G0483;10349;Zuid-Holland;P28;2645;2561;11;7;2543;2102;13;233;117;17;24;6;3;8;5;2;;7;;;1;3;2;;
Alkmaar;G0361;10527;Noord-Holland;P27;17629;16723;158;264;16301;5100;3882;1571;722;2120;890;576;381;173;18;;;;;;;;;;
Almelo;G0141;11053;Overijssel;P23;18925;18119;362;536;17221;3205;4830;1972;873;1294;506;626;1050;1826;51;386;411;15;5;15;123;1;8;15;8
Almkerk;G0740;10788;Noord-Brabant;P30;1914;1734;22;24;1688;9;69;1075;396;29;39;22;7;;22;;;15;;1;3;;1;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;9148;8650;46;118;8486;1638;819;2351;2163;251;379;278;30;52;352;2;10;28;;113;11;1;5;3;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;1237;1209;4;7;1198;1148;1;7;;13;1;;;;;;6;;21;;;1;;;
Ambt Delden;G0142;11400;Overijssel;P23;2025;1953;22;21;1910;1162;158;166;166;170;15;25;8;13;2;2;5;;;1;9;1;7;;
Ambt Hardenberg;G1011;10174;Overijssel;P23;6366;6020;84;70;5866;723;551;2296;1296;247;232;260;11;167;32;7;3;15;1;3;10;2;8;2;
Ambt Vollenhove;G1013;11088;Overijssel;P23;1335;1247;14;13;1220;9;26;656;275;25;7;65;9;67;21;4;;;;53;;;12;;
Amby;G0883;10922;Limburg;P31;998;973;22;47;904;774;38;7;1;;75;;;2;;;6;;1;;;;;;
Ameide;G0485;11349;Zuid-Holland;P28;953;871;14;15;842;1;242;318;14;57;24;41;5;4;68;;;;;;;;;;
Ameland;G0060;11153;Fryslân;P21;1166;1115;11;11;1093;258;119;177;178;219;9;103;10;9;;2;;3;;;6;;;;
Amerongen;G0306;11372;Utrecht;P26;1542;1410;34;21;1355;14;277;333;346;39;95;32;3;6;199;;1;2;;2;3;;3;;
Amersfoort;G0307;10948;Utrecht;P26;24262;22734;298;512;21924;4848;5753;3758;2101;1226;891;1160;297;445;211;193;575;51;;323;49;3;4;36;
Ammerstol;G0486;10863;Zuid-Holland;P28;611;557;1;13;543;;364;28;3;79;11;15;1;14;23;;;2;;2;;1;;;
Ammerzoden;G0198;10151;Gelderland;P25;1469;1397;8;16;1373;969;42;138;152;11;4;1;1;;46;;2;2;4;;;;1;;
Amstenrade;G0884;10062;Limburg;P31;866;844;8;15;821;576;79;27;9;2;110;;8;3;;;1;2;1;;;;;1;2
Amsterdam;G0363;11150;Noord-Holland;P27;449009;425529;21279;2140;402110;60378;132719;61215;13222;17130;24756;20007;51350;7074;578;8173;1929;2085;46;288;285;204;129;542;
Andel;G0742;10871;Noord-Brabant;P30;590;520;4;13;503;2;26;251;174;6;7;6;1;;16;;;7;;1;;1;5;;
Andijk;G0364;10822;Noord-Holland;P27;2076;1947;8;31;1908;267;356;711;21;239;5;75;104;64;25;30;1;;;;3;;5;;
Angerlo;G0199;11131;Gelderland;P25;1355;1302;20;5;1277;651;65;165;157;63;42;26;2;17;5;1;10;1;34;;;;38;;
Ankeveen;G1014;10936;Noord-Holland;P27;374;354;3;5;346;143;39;39;94;10;3;;9;2;1;3;3;;;;;;;;
Anloo;G0105;10787;Drenthe;P22;2778;2593;34;71;2488;21;669;144;25;412;729;116;97;236;3;3;2;3;;2;11;;13;1;1
Anna Paulowna;G0366;10344;Noord-Holland;P27;3024;2900;19;36;2845;671;855;273;104;530;70;22;111;103;16;8;62;3;;1;13;;2;1;
Apeldoorn;G0200;11075;Gelderland;P25;36360;34510;627;842;33041;3362;8812;6714;5982;2939;1366;1240;401;806;575;88;274;115;8;18;63;27;95;124;32
Appeltern;G0201;11296;Gelderland;P25;1679;1620;11;11;1598;1232;17;12;103;6;26;1;;;6;1;;;188;;;;6;;
Appingedam;G0003;10886;Groningen;P20;3735;3521;32;82;3407;74;558;706;504;522;122;119;425;315;2;2;5;4;;1;45;;3;;
Arcen en Velden;G0885;10202;Limburg;P31;1558;1513;11;16;1486;1334;17;19;2;7;57;1;6;;;;2;1;39;;;;1;;
Arkel;G0487;10079;Zuid-Holland;P28;675;641;5;21;615;8;189;112;12;35;15;181;1;4;9;4;1;4;;6;25;;9;;
Arnemuiden;G0649;11419;Zeeland;P29;1232;1148;36;17;1095;7;87;304;194;47;53;26;13;1;298;3;;13;;44;;;5;;
Arnhem;G0202;10795;Gelderland;P25;48392;46414;654;1459;44301;11798;13464;7137;1713;2726;2091;2247;1044;260;79;462;202;632;178;16;40;70;28;101;13
Asperen;G0488;11369;Zuid-Holland;P28;921;866;7;22;837;2;91;261;33;20;72;47;5;6;134;;;;;;;;;;
