RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Communistische Partij van Nederland;Christelijk-Historische Unie;Partij van de Vrijheid;Staatkundig Gereformeerde Partij (SGP)
Aagtekerke;G1000;10531;Zeeland;P29;0;350;0;;350;;12;51;;77;4;198
Aalsmeer;G0358;11264;Noord-Holland;P27;0;5944;0;;5944;1131;1994;1025;286;790;610;60
Aalten;G0197;11046;Gelderland;P25;0;6437;0;;6437;1007;1271;2610;25;1331;183;10
Aardenburg;G0648;11020;Zeeland;P29;0;1791;0;;1791;1146;296;132;28;54;84;14
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;0;1393;0;;1393;1262;87;13;8;19;3;
Abbekerk;G0359;10439;Noord-Holland;P27;0;492;0;;492;163;216;39;19;15;33;
Abbenbroek;G0481;11026;Zuid-Holland;P28;0;396;0;;396;2;142;46;88;14;92;7
Abcoude;G0305;10712;Utrecht;P26;0;1725;0;;1725;659;259;265;14;460;39;26
Achtkarspelen;G0059;10199;Fryslân;P21;0;8255;0;;8255;29;2429;3736;488;1258;200;94
Achttienhoven;G1005;10524;Utrecht;P26;0;399;0;;399;84;41;118;9;98;1;35
Adorp;G0001;10996;Groningen;P20;0;813;0;;813;6;196;407;16;50;112;1
Aduard;G0002;10999;Groningen;P20;0;1147;0;;1147;7;345;515;22;57;195;
Akersloot;G0360;10346;Noord-Holland;P27;0;1085;0;;1085;698;221;26;89;10;36;1
Alblasserdam;G0482;11327;Zuid-Holland;P28;0;3849;0;;3849;25;1270;594;143;872;253;683
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;0;586;0;;586;567;9;2;2;2;;
Alkemade;G0483;10349;Zuid-Holland;P28;0;3124;0;;3124;2600;61;273;8;130;47;3
Alkmaar;G0361;10527;Noord-Holland;P27;0;20097;0;;20097;6619;7309;1293;2681;641;1206;34
Almelo;G0141;11053;Overijssel;P23;0;20587;0;;20587;4447;7562;2024;4201;754;1114;89
Almkerk;G0740;10788;Noord-Brabant;P30;0;2073;0;;2073;13;205;1304;3;482;23;17
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;0;10001;0;;10001;2009;1892;2530;228;2544;437;333
Alphen en Riel;G0741;10710;Noord-Brabant;P30;0;1452;0;;1452;1396;39;12;1;2;1;
Ambt Delden;G0142;11400;Overijssel;P23;0;2158;0;;2158;1389;383;89;30;174;67;3
Amby;G0883;10922;Limburg;P31;0;1121;0;;1121;917;173;9;12;;8;2
Ameide;G0485;11349;Zuid-Holland;P28;0;989;0;;989;1;383;482;;13;63;42
Ameland;G0060;11153;Fryslân;P21;0;1275;0;;1275;321;577;118;32;181;37;6
Amerongen;G0306;11372;Utrecht;P26;0;1738;0;;1738;25;499;342;21;472;77;271
Amersfoort;G0307;10948;Utrecht;P26;0;27536;0;;27536;6489;8792;3730;3636;2468;1843;378
Ammerstol;G0486;10863;Zuid-Holland;P28;0;617;0;;617;2;371;18;148;6;46;20
Ammerzoden;G0198;10151;Gelderland;P25;0;1390;0;;1390;942;88;101;2;199;9;49
Amstenrade;G0884;10062;Limburg;P31;0;1073;0;;1073;804;171;23;65;;8;2
Amsterdam;G0363;11150;Noord-Holland;P27;0;429758;0;;429758;74315;140485;36570;129189;12963;27755;796
Andel;G0742;10871;Noord-Brabant;P30;0;583;0;;583;2;52;220;;277;;22
Andijk;G0364;10822;Noord-Holland;P27;0;2255;0;;2255;301;563;926;374;26;22;38
Angerlo;G0199;11131;Gelderland;P25;0;1459;0;;1459;819;168;69;6;338;51;8
Ankeveen;G1014;10936;Noord-Holland;P27;0;390;0;;390;164;72;31;45;57;14;1
Anloo;G0105;10787;Drenthe;P22;0;2861;0;;2861;26;1655;115;278;79;694;7
Anna Paulowna;G0366;10344;Noord-Holland;P27;0;3489;0;;3489;986;1255;300;611;147;157;16
Apeldoorn;G0200;11075;Gelderland;P25;0;41748;0;;41748;5143;14865;6621;1968;8454;3367;865
Appeltern;G0201;11296;Gelderland;P25;0;1701;0;;1701;1484;59;4;4;146;3;1
Appingedam;G0003;10886;Groningen;P20;0;3888;0;;3888;89;1185;807;688;670;412;
Arcen en Velden;G0885;10202;Limburg;P31;0;1891;0;;1891;1780;72;11;24;1;1;2
Arkel;G0487;10079;Zuid-Holland;P28;0;746;0;;746;21;362;120;22;12;198;10
Arnemuiden;G0649;11419;Zeeland;P29;0;1442;0;;1442;17;218;344;20;312;14;512
Arnhem;G0202;10795;Gelderland;P25;0;51778;0;;51778;15534;18987;3872;5164;2879;4187;190
Asperen;G0488;11369;Zuid-Holland;P28;0;934;0;;934;4;215;338;5;98;93;170
Assen;G0106;10522;Drenthe;P22;0;11281;0;;11281;409;5506;2245;946;868;1242;11
Assendelft;G0367;11373;Noord-Holland;P27;0;3261;0;;3261;1270;948;128;806;27;53;27
Asten;G0743;10478;Noord-Brabant;P30;0;3412;0;;3412;3301;56;6;11;28;7;1
Avenhorn;G0368;11147;Noord-Holland;P27;0;777;0;;777;344;336;4;54;2;33;
Avereest;G0143;11190;Overijssel;P23;0;5389;0;;5389;520;1278;1290;61;1775;407;30
Axel;G0650;11289;Zeeland;P29;0;3523;0;;3523;605;622;1064;17;758;237;192
Baarderadeel;G0061;10422;Fryslân;P21;0;2858;0;;2858;126;1622;434;100;247;294;4
Baarland;G0651;10634;Zeeland;P29;0;481;0;;481;106;49;99;35;114;37;39
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;0;1636;0;;1636;1543;57;15;6;10;;3
Baarn;G0308;11411;Utrecht;P26;0;8352;0;;8352;1406;2674;1876;581;610;991;163
Baexem;G0886;11255;Limburg;P31;0;663;0;;663;651;8;3;;;1;
Baflo;G0004;10539;Groningen;P20;0;1581;0;;1581;5;460;784;29;37;223;2
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;0;1883;0;;1883;1811;47;5;6;8;2;
Barendrecht;G0489;10943;Zuid-Holland;P28;0;3519;0;;3519;50;925;1556;51;471;260;188
Barneveld;G0203;10906;Gelderland;P25;0;8860;0;;8860;548;1056;2048;192;3369;252;1340
Barradeel;G0062;10156;Fryslân;P21;0;4222;0;;4222;25;1394;1318;168;1209;81;2
Barsingerhorn;G0369;10973;Noord-Holland;P27;0;1187;0;;1187;50;441;76;326;47;235;1
Barwoutswaarder;G1017;10447;Zuid-Holland;P28;0;393;0;;393;74;29;109;1;145;2;32
Batenburg;G0204;10921;Gelderland;P25;0;278;0;;278;213;18;6;2;35;4;
Bathmen;G0144;11030;Overijssel;P23;0;1167;0;;1167;37;501;100;26;174;304;6
Bedum;G0005;10425;Groningen;P20;0;3556;0;;3556;147;902;1972;31;100;385;2
Beegden;G0887;11089;Limburg;P31;0;495;0;;495;481;14;;;;;
Beek;G0888;11374;Limburg;P31;0;3310;0;;3310;2679;532;15;45;18;20;1
Beek;G1247;11354;Noord-Brabant;P30;0;1867;0;;1867;1722;104;28;2;5;2;3
Beek en Donk;G0746;10173;Noord-Brabant;P30;0;1708;0;;1708;1638;44;4;8;8;2;3
Beemster;G0370;10816;Noord-Holland;P27;0;3189;0;;3189;847;1381;176;340;53;366;5
Beers;G0747;11410;Noord-Brabant;P30;0;1025;0;;1025;1018;4;1;1;;;
Beerta;G0006;11043;Groningen;P20;0;2022;0;;2022;17;515;59;1057;59;289;3
Beesd;G0205;10259;Gelderland;P25;0;1429;0;;1429;594;301;145;17;193;100;79
Beesel;G0889;10195;Limburg;P31;0;2445;0;;2445;2335;77;4;22;2;4;1
Beets;G0371;10536;Noord-Holland;P27;0;291;0;;291;4;182;16;17;6;61;
Beilen;G0107;10520;Drenthe;P22;0;4659;0;;4659;30;1733;1264;120;952;536;11
Belfeld;G0890;10292;Limburg;P31;0;1094;0;;1094;1043;36;3;8;1;3;
Bellingwolde;G1019;10340;Groningen;P20;0;3358;0;;3358;26;1714;238;767;188;386;3
Bemelen;G0891;10878;Limburg;P31;0;151;0;;151;140;7;;;;4;
Bemmel;G0206;10744;Gelderland;P25;0;3796;0;;3796;3302;187;34;31;197;37;8
Bennebroek;G0372;10734;Noord-Holland;P27;0;1387;0;;1387;604;270;243;29;81;143;5
Benschop;G0309;11330;Utrecht;P26;0;1046;0;;1046;306;117;288;1;151;64;112
Benthuizen;G0490;10398;Zuid-Holland;P28;0;586;0;;586;10;76;104;2;60;32;295
Berg en Terblijt;G0892;10796;Limburg;P31;0;963;0;;963;909;40;2;6;2;4;
Bergambacht;G0491;10962;Zuid-Holland;P28;0;1912;0;;1912;12;599;548;98;69;241;336
Bergen;G0373;11424;Noord-Holland;P27;0;3977;0;;3977;1523;1378;205;302;84;414;3
Bergen;G0893;11281;Limburg;P31;0;3660;0;;3660;3503;107;11;27;6;1;5
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;0;13609;0;;13609;10032;1931;697;325;286;219;66
Bergeyk;G0749;11160;Noord-Brabant;P30;0;1726;0;;1726;1609;54;15;17;26;4;1
Bergh;G0207;10350;Gelderland;P25;0;5868;0;;5868;5099;598;53;24;43;39;12
Bergharen;G0208;10883;Gelderland;P25;0;933;0;;933;783;31;1;1;102;11;4
Berghem;G0750;10733;Noord-Brabant;P30;0;1268;0;;1268;1110;139;6;4;1;5;1
Bergschenhoek;G0492;10445;Zuid-Holland;P28;0;1577;0;;1577;377;232;293;48;449;75;75
