RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Overig;Lijst Welter
Aagtekerke;G1000;10531;Zeeland;P29;425;461;0;;461;10;40;51;91;10;27;230;2;
Aalsmeer;G0358;11264;Noord-Holland;P27;6709;6209;0;;6209;1161;1722;1037;977;774;304;79;138;17
Aalten;G0197;11046;Gelderland;P25;7239;6758;0;;6758;1067;1109;2627;1448;397;35;16;24;35
Aardenburg;G0648;11020;Zeeland;P29;1974;1942;0;;1942;1147;302;146;46;157;55;25;43;21
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;1552;1454;0;;1454;1319;68;10;16;14;5;;4;18
Abbekerk;G0359;10439;Noord-Holland;P27;518;469;0;;469;161;184;27;15;49;21;;12;
Abbenbroek;G0481;11026;Zuid-Holland;P28;437;402;0;;402;4;159;33;18;138;42;3;5;
Abcoude;G0305;10712;Utrecht;P26;1879;1798;0;;1798;654;190;301;478;55;25;52;20;23
Achtkarspelen;G0059;10199;Fryslân;P21;9149;8338;0;;8338;33;2200;3754;1402;354;466;85;42;2
Achttienhoven;G1005;10524;Utrecht;P26;444;412;0;;412;75;42;103;114;13;7;44;4;10
Adorp;G0001;10996;Groningen;P20;878;824;0;;824;4;216;418;59;105;5;;15;2
Aduard;G0002;10999;Groningen;P20;1222;1143;0;;1143;10;304;497;84;200;21;1;26;
Akersloot;G0360;10346;Noord-Holland;P27;1189;1146;0;;1146;741;202;26;12;89;67;1;1;7
Alblasserdam;G0482;11327;Zuid-Holland;P28;4293;3984;0;;3984;36;1257;534;986;328;72;744;17;10
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;673;644;0;;644;622;8;5;3;1;;2;;3
Alkemade;G0483;10349;Zuid-Holland;P28;3432;3343;0;;3343;2752;65;290;151;44;7;4;11;19
Alkmaar;G0361;10527;Noord-Holland;P27;22306;20566;0;;20566;6864;6808;1457;928;1890;2062;46;215;296
Almelo;G0141;11053;Overijssel;P23;22742;21619;0;;21619;4980;7310;2146;1367;2204;3273;131;138;70
Almkerk;G0740;10788;Noord-Brabant;P30;2196;2175;0;;2175;15;211;1349;545;19;5;28;2;1
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;10912;10196;0;;10196;2068;1731;2417;2834;506;131;426;46;37
Alphen en Riel;G0741;10710;Noord-Brabant;P30;1571;1523;0;;1523;1462;34;7;3;3;2;;;12
Ambt Delden;G0142;11400;Overijssel;P23;2415;2345;0;;2345;1535;345;67;234;119;32;3;6;4
Amby;G0883;10922;Limburg;P31;1309;1192;0;;1192;971;117;10;4;10;9;1;12;58
Ameide;G0485;11349;Zuid-Holland;P28;1067;1002;0;;1002;4;362;458;42;84;;47;5;
Ameland;G0060;11153;Fryslân;P21;1329;1875;0;;1875;395;717;220;264;167;58;3;46;5
Amerongen;G0306;11372;Utrecht;P26;1989;1905;0;;1905;29;527;384;489;105;23;293;54;1
Amersfoort;G0307;10948;Utrecht;P26;32077;28501;0;;28501;6724;8371;4140;3261;2449;2014;454;680;408
Ammerstol;G0486;10863;Zuid-Holland;P28;685;615;0;;615;;352;20;11;68;133;19;11;1
Ammerzoden;G0198;10151;Gelderland;P25;1549;1458;0;;1458;982;80;121;183;12;4;65;1;10
Amstenrade;G0884;10062;Limburg;P31;1291;1158;0;;1158;891;109;26;18;12;46;;8;48
Amsterdam;G0363;11150;Noord-Holland;P27;503176;433603;0;;433603;77618;130620;42768;16545;40027;111528;941;9731;3825
Andel;G0742;10871;Noord-Brabant;P30;670;657;0;;657;2;81;220;289;6;6;53;;
Andijk;G0364;10822;Noord-Holland;P27;2374;2255;0;;2255;329;509;886;44;67;360;45;7;8
Angerlo;G0199;11131;Gelderland;P25;1561;1451;0;;1451;826;124;88;321;74;9;6;2;1
Ankeveen;G1014;10936;Noord-Holland;P27;442;411;0;;411;184;47;35;89;11;36;7;2;
Anloo;G0105;10787;Drenthe;P22;3342;2819;0;;2819;32;1568;153;77;659;198;15;107;10
Anna Paulowna;G0366;10344;Noord-Holland;P27;3654;3357;0;;3357;1039;1023;302;143;278;472;11;55;34
Apeldoorn;G0200;11075;Gelderland;P25;47928;44715;0;;44715;5487;13579;6977;9622;5241;1842;983;679;305
Appeltern;G0201;11296;Gelderland;P25;1822;1716;0;;1716;1487;51;6;147;4;3;1;4;13
Appingedam;G0003;10886;Groningen;P20;4493;4096;0;;4096;83;1103;856;830;548;571;2;99;4
Arcen en Velden;G0885;10202;Limburg;P31;2132;2033;0;;2033;1866;33;11;9;13;17;;9;75
Arkel;G0487;10079;Zuid-Holland;P28;828;768;0;;768;27;366;108;24;201;16;20;6;
Arnemuiden;G0649;11419;Zeeland;P29;1511;1397;0;;1397;19;259;303;300;17;8;474;17;
Arnhem;G0202;10795;Gelderland;P25;58118;54268;0;;54268;16159;18467;4519;4257;4960;3293;290;1271;1052
Asperen;G0488;11369;Zuid-Holland;P28;1026;948;0;;948;3;213;327;118;99;2;183;3;
Assen;G0106;10522;Drenthe;P22;13024;11432;0;;11432;460;5169;2283;1009;1595;673;44;155;44
Assendelft;G0367;11373;Noord-Holland;P27;3543;3322;0;;3322;1325;867;131;43;158;730;36;27;5
Asten;G0743;10478;Noord-Brabant;P30;3684;3546;0;;3546;3354;83;8;36;10;9;;2;44
Avenhorn;G0368;11147;Noord-Holland;P27;823;771;0;;771;364;249;9;10;88;45;;4;2
Avereest;G0143;11190;Overijssel;P23;6223;5613;0;;5613;561;1118;1344;2028;440;40;35;41;6
Axel;G0650;11289;Zeeland;P29;3923;3604;0;;3604;609;636;1115;734;206;16;204;41;43
Baarderadeel;G0061;10422;Fryslân;P21;3101;2871;0;;2871;119;1402;434;303;446;51;4;109;3
Baarland;G0651;10634;Zeeland;P29;517;500;0;;500;98;76;105;116;20;31;38;4;12
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;1781;1717;0;;1717;1549;76;25;16;4;11;;5;31
Baarn;G0308;11411;Utrecht;P26;9934;8889;0;;8889;1426;2294;2263;683;1289;362;188;193;191
Baexem;G0886;11255;Limburg;P31;653;623;0;;623;601;4;;;;;;;18
Baflo;G0004;10539;Groningen;P20;1688;1577;0;;1577;10;470;789;68;194;20;;24;2
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;2043;1942;0;;1942;1878;22;10;12;3;5;;3;9
Barendrecht;G0489;10943;Zuid-Holland;P28;3812;3581;0;;3581;39;857;1503;578;340;34;212;13;5
Barneveld;G0203;10906;Gelderland;P25;10107;9744;0;;9744;645;1181;2239;3070;362;164;1985;64;34
Barradeel;G0062;10156;Fryslân;P21;4601;4277;0;;4277;42;1191;1340;1332;198;105;2;66;1
