RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond
Aagtekerke;G1000;10531;Zeeland;P29;432;418;0;;418;30;8;48;96;17;1;5;211;;1;1;;
Aalsmeer;G0358;11264;Noord-Holland;P27;7183;6706;0;;6706;2004;1264;1051;1014;870;230;63;95;25;16;30;34;10
Aalten;G0197;11046;Gelderland;P25;7625;7256;0;;7256;1254;1190;2732;1573;380;23;64;14;18;2;4;2;
Aardenburg;G0648;11020;Zeeland;P29;2076;1926;0;;1926;338;1156;130;58;160;7;36;8;3;22;8;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;1616;1513;0;;1513;78;1331;9;26;12;7;47;;;1;2;;
Abbekerk;G0359;10439;Noord-Holland;P27;495;463;0;;463;183;179;13;6;56;14;;;1;9;1;1;
Abbenbroek;G0481;11026;Zuid-Holland;P28;447;397;0;;397;190;;36;17;127;20;2;4;;1;;;
Abcoude;G0305;10712;Utrecht;P26;2084;1977;0;;1977;263;631;306;447;127;21;91;73;2;5;9;1;1
Achtkarspelen;G0059;10199;Fryslân;P21;9473;8846;0;;8846;2544;38;3606;1337;401;415;6;99;329;48;6;14;3
Achttienhoven;G1005;10524;Utrecht;P26;493;466;0;;466;55;85;126;111;18;4;8;50;2;6;1;;
Adorp;G0001;10996;Groningen;P20;860;823;0;;823;254;;343;66;81;4;;;63;3;2;;7
Aduard;G0002;10999;Groningen;P20;1279;1222;0;;1222;386;6;426;64;196;19;;;95;21;4;1;4
Akersloot;G0360;10346;Noord-Holland;P27;1266;1229;0;;1229;182;832;22;14;111;54;6;2;;3;3;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;5186;4871;0;;4871;1801;89;526;1018;407;92;28;838;51;4;14;3;
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;755;728;0;;728;12;706;;5;2;1;;;;2;;;
Alkemade;G0483;10349;Zuid-Holland;P28;3691;3567;0;;3567;74;2937;293;147;40;7;52;5;3;5;3;1;
Alkmaar;G0361;10527;Noord-Holland;P27;23294;21770;0;;21770;7616;6745;1404;922;2388;1600;757;43;46;54;54;85;56
Almelo;G0141;11053;Overijssel;P23;25225;24004;0;;24004;8505;5386;2316;1737;2501;2879;239;217;93;30;40;45;16
Almkerk;G0740;10788;Noord-Brabant;P30;2418;2315;0;;2315;289;4;1349;543;26;3;;24;77;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;11513;10957;0;;10957;2080;2142;2458;2852;637;125;128;475;21;14;8;14;3
Alphen en Riel;G0741;10710;Noord-Brabant;P30;1674;1643;0;;1643;30;1565;2;3;2;1;37;;;2;;1;
Ambt Delden;G0142;11400;Overijssel;P23;2535;2405;0;;2405;335;1568;50;267;146;19;10;3;;;2;4;1
Amby;G0883;10922;Limburg;P31;1393;1269;0;;1269;180;957;8;6;12;4;94;;1;;2;5;
Ameide;G0485;11349;Zuid-Holland;P28;1098;1033;0;;1033;390;2;424;56;83;3;;75;;;;;
Ameland;G0060;11153;Fryslân;P21;1394;1630;0;;1630;619;365;184;246;165;23;4;1;6;8;2;6;1
Amerongen;G0306;11372;Utrecht;P26;2211;2074;0;;2074;597;49;329;607;134;17;9;296;3;6;16;10;1
Amersfoort;G0307;10948;Utrecht;P26;34220;31342;0;;31342;9786;6881;3476;3746;3314;1687;690;561;632;65;152;269;83
Ammerstol;G0486;10863;Zuid-Holland;P28;704;661;0;;661;392;1;14;10;76;140;;20;1;1;;6;
Ammerzoden;G0198;10151;Gelderland;P25;1693;1579;0;;1579;149;1020;102;178;11;2;40;75;;1;1;;
Amstenrade;G0884;10062;Limburg;P31;1388;1286;0;;1286;234;897;22;18;13;12;83;;3;;4;;
Amsterdam;G0363;11150;Noord-Holland;P27;523306;467680;0;;467680;164264;71569;38042;17807;49856;104538;10846;1224;1078;1343;3783;2287;1043
Andel;G0742;10871;Noord-Brabant;P30;717;646;0;;646;73;2;224;269;5;1;1;71;;;;;
Andijk;G0364;10822;Noord-Holland;P27;2340;2235;0;;2235;492;375;849;41;144;273;2;46;5;;;8;
Angerlo;G0199;11131;Gelderland;P25;1594;1585;0;;1585;198;888;91;323;69;3;7;4;;1;;1;
Ankeveen;G1014;10936;Noord-Holland;P27;461;428;0;;428;82;170;27;70;12;32;15;11;2;;7;;
Anloo;G0105;10787;Drenthe;P22;3389;3034;0;;3034;1970;20;109;62;652;114;11;1;13;68;12;2;
Anna Paulowna;G0366;10344;Noord-Holland;P27;3700;3515;0;;3515;1213;1141;252;127;368;286;66;21;22;7;8;3;1
Apeldoorn;G0200;11075;Gelderland;P25;51538;48528;0;;48528;16379;5533;6583;9927;5924;1726;758;1032;178;70;190;101;127
Appeltern;G0201;11296;Gelderland;P25;1891;1787;0;;1787;130;1472;10;143;6;2;16;1;1;2;1;3;
Appingedam;G0003;10886;Groningen;P20;5052;4639;0;;4639;1611;101;883;848;596;481;21;2;29;45;1;2;19
Arcen en Velden;G0885;10202;Limburg;P31;2342;2267;0;;2267;96;1998;13;8;28;5;113;;;;5;1;
Arkel;G0487;10079;Zuid-Holland;P28;854;787;0;;787;371;16;94;43;224;11;;19;;;;9;
Arnemuiden;G0649;11419;Zeeland;P29;1491;1379;0;;1379;371;12;273;220;36;7;;443;4;11;1;1;
Arnhem;G0202;10795;Gelderland;P25;63583;59282;0;;59282;22534;15753;4614;4734;5827;2380;1590;225;110;759;328;305;123
Asperen;G0488;11369;Zuid-Holland;P28;1017;955;0;;955;237;6;287;133;108;4;;177;;2;1;;
Assen;G0106;10522;Drenthe;P22;14180;12776;0;;12776;5907;479;2002;1125;1724;627;95;23;494;195;39;15;51
Assendelft;G0367;11373;Noord-Holland;P27;3726;3549;0;;3549;999;1426;132;45;179;666;24;43;19;7;2;4;3
Asten;G0743;10478;Noord-Brabant;P30;3868;3664;0;;3664;91;3346;8;37;13;8;149;1;1;5;3;2;
Avenhorn;G0368;11147;Noord-Holland;P27;832;811;0;;811;266;395;7;7;109;20;3;;1;;;2;1
Avereest;G0143;11190;Overijssel;P23;6359;5716;0;;5716;1321;540;1243;1918;544;20;46;36;21;17;4;4;2
Axel;G0650;11289;Zeeland;P29;4352;4098;0;;4098;919;712;732;772;249;6;30;180;472;19;5;2;
Baarderadeel;G0061;10422;Fryslân;P21;3069;2896;0;;2896;1418;122;425;302;534;27;1;8;5;19;5;30;
Baarland;G0651;10634;Zeeland;P29;520;497;0;;497;75;106;105;112;24;21;4;39;;10;1;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;1890;1814;0;;1814;58;1652;14;11;7;4;60;1;3;1;3;;
Baarn;G0308;11411;Utrecht;P26;10488;9496;0;;9496;2720;1340;2037;750;1419;301;426;264;67;31;59;31;51
Baexem;G0886;11255;Limburg;P31;660;668;0;;668;;659;;;;;9;;;;;;
Baflo;G0004;10539;Groningen;P20;1696;1630;0;;1630;509;8;737;83;216;12;;1;45;11;4;1;3
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;2172;2066;0;;2066;35;1978;7;11;2;9;21;1;1;;1;;
Barendrecht;G0489;10943;Zuid-Holland;P28;4034;3803;0;;3803;893;43;1510;595;425;18;4;261;39;11;;4;
Barneveld;G0203;10906;Gelderland;P25;10461;10625;0;;10625;1607;712;2223;3218;511;90;120;1989;88;14;23;7;23
Barradeel;G0062;10156;Fryslân;P21;4502;4272;0;;4272;1260;38;1287;1258;289;55;7;2;40;16;3;9;8
Barsingerhorn;G0369;10973;Noord-Holland;P27;1180;1081;0;;1081;531;51;53;31;224;170;1;2;3;5;2;5;3
Barwoutswaarder;G1017;10447;Zuid-Holland;P28;474;450;0;;450;43;78;105;155;10;4;8;47;;;;;
Batenburg;G0204;10921;Gelderland;P25;316;294;0;;294;9;223;15;35;6;;4;;;;;2;
Bathmen;G0144;11030;Overijssel;P23;1351;1277;0;;1277;409;28;24;287;509;11;1;3;;;1;4;
Bedum;G0005;10425;Groningen;P20;4025;3866;0;;3866;992;159;1721;135;365;21;8;2;395;39;16;3;10
Beegden;G0887;11089;Limburg;P31;566;537;0;;537;5;510;;;;1;20;;;;;1;
Beek;G0888;11374;Limburg;P31;4157;3858;0;;3858;308;3158;27;39;48;27;240;4;2;;5;;
Beek en Donk;G0746;10173;Noord-Brabant;P30;2132;1986;0;;1986;68;1828;5;8;31;5;33;1;2;4;1;;
Beemster;G0370;10816;Noord-Holland;P27;3539;3377;0;;3377;1211;959;163;90;669;227;19;5;1;13;9;9;2
Beers;G0747;11410;Noord-Brabant;P30;1097;1080;0;;1080;6;1065;;;;;6;;;2;1;;
Beerta;G0006;11043;Groningen;P20;2323;2051;0;;2051;624;23;52;73;304;928;6;7;4;17;8;1;4
Beesd;G0205;10259;Gelderland;P25;1659;1573;0;;1573;326;632;76;346;53;10;18;102;2;2;2;4;
Beesel;G0889;10195;Limburg;P31;3176;3028;0;;3028;95;2608;9;1;5;5;295;1;2;;4;3;
Beets;G0371;10536;Noord-Holland;P27;331;317;0;;317;167;6;4;17;96;11;;3;;13;;;
Beilen;G0107;10520;Drenthe;P22;5549;5217;0;;5217;2087;46;1207;1067;579;72;6;9;99;7;6;3;29
Belfeld;G0890;10292;Limburg;P31;1393;1299;0;;1299;23;1187;1;2;2;;79;2;2;;1;;
Bellingwolde;G1019;10340;Groningen;P20;3839;3485;0;;3485;1863;47;203;280;421;623;1;5;11;16;7;5;3
Bemelen;G0891;10878;Limburg;P31;170;157;0;;157;6;143;;1;2;;5;;;;;;
Bemmel;G0206;10744;Gelderland;P25;4740;4443;0;;4443;415;3524;50;188;83;10;142;9;1;17;3;1;
Bennebroek;G0372;10734;Noord-Holland;P27;2271;1564;0;;1564;214;460;311;119;223;18;177;10;12;2;10;4;4
Benschop;G0309;11330;Utrecht;P26;1183;1122;0;;1122;111;326;235;191;73;2;14;169;;1;;;
Benthuizen;G0490;10398;Zuid-Holland;P28;662;619;0;;619;102;8;75;97;33;3;;300;;1;;;
Berg en Terblijt;G0892;10796;Limburg;P31;1188;1149;0;;1149;56;1026;5;13;12;3;27;1;2;;4;;
Bergambacht;G0491;10962;Zuid-Holland;P28;2240;2088;0;;2088;722;9;412;134;273;71;2;449;;6;4;;6
Bergen;G0373;11424;Noord-Holland;P27;5082;5825;0;;5825;1794;1737;412;202;1092;223;193;10;10;17;42;56;37
Bergen;G0893;11281;Limburg;P31;4606;4304;0;;4304;136;4021;14;9;13;5;63;2;2;;38;1;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;16243;14908;0;;14908;3451;7897;676;322;643;185;1583;48;18;29;53;3;
