RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;VVD;Christelijk-Historische Unie;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie
Aagtekerke;G1000;10531;Zeeland;P29;432;422;5;;417;28;11;46;12;121;1;197;1;;
Aalsmeer;G0358;11264;Noord-Holland;P27;7626;7336;125;;7211;2498;1428;1002;888;1070;168;90;31;17;19
Aalten;G0197;11046;Gelderland;P25;7877;7698;145;;7553;1449;1292;2799;354;1605;4;21;13;3;13
Aardenburg;G0648;11020;Zeeland;P29;2108;2046;89;;1957;430;1189;118;143;62;2;7;;2;4
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;1720;1672;33;;1639;115;1473;18;7;23;;;1;;2
Abbekerk;G0359;10439;Noord-Holland;P27;521;494;4;;490;195;194;18;59;13;9;;;1;1
Abbenbroek;G0481;11026;Zuid-Holland;P28;462;432;15;;417;218;3;33;122;12;23;3;;1;2
Abcoude;G0305;10712;Utrecht;P26;2271;2186;26;;2160;345;793;308;165;448;13;67;;10;11
Achtkarspelen;G0059;10199;Fryslân;P21;9695;9333;129;;9204;3019;43;3676;385;1348;344;80;283;6;20
Adorp;G0001;10996;Groningen;P20;848;835;13;;822;257;1;328;118;51;;2;53;2;10
Aduard;G0002;10999;Groningen;P20;1282;1252;12;;1240;397;9;404;231;68;23;1;104;;3
Akersloot;G0360;10346;Noord-Holland;P27;1315;1283;8;;1275;215;872;20;116;17;30;2;;2;1
Alblasserdam;G0482;11327;Zuid-Holland;P28;6194;5923;97;;5826;2379;158;612;559;1126;92;819;42;18;21
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;811;745;7;;738;8;725;1;;4;;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;3869;3842;28;;3814;108;3218;286;45;134;4;7;;12;
Alkmaar;G0361;10527;Noord-Holland;P27;24034;23156;321;;22835;9018;7875;1269;2289;965;1224;41;38;80;36
Almelo;G0141;11053;Overijssel;P23;27216;26426;533;;25893;11354;6195;2188;2376;1510;1871;146;96;127;30
Almkerk;G0740;10788;Noord-Brabant;P30;2535;2439;14;;2425;310;7;1412;33;530;1;46;84;2;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;12170;11780;120;;11660;2696;2418;2343;637;2826;119;532;32;39;18
Alphen en Riel;G0741;10710;Noord-Brabant;P30;1713;1721;13;;1708;39;1654;3;6;2;;;;1;3
Ambt Delden;G0142;11400;Overijssel;P23;2594;2518;19;;2499;389;1689;36;143;222;9;4;;;7
Amby;G0883;10922;Limburg;P31;1469;1440;30;;1410;229;1155;6;13;1;2;;;3;1
Ameide;G0485;11349;Zuid-Holland;P28;1089;1055;17;;1038;408;3;402;61;87;;75;;1;1
Ameland;G0060;11153;Fryslân;P21;1389;1586;11;;1575;608;373;186;121;251;14;3;13;2;4
Amerongen;G0306;11372;Utrecht;P26;2319;2247;50;;2197;747;72;299;126;606;18;298;6;17;8
Amersfoort;G0307;10948;Utrecht;P26;37262;35298;705;;34593;12602;8191;3343;3923;3729;1246;580;655;203;121
Ammerstol;G0486;10863;Zuid-Holland;P28;705;688;14;;674;479;1;11;61;10;94;18;;;
Ammerzoden;G0198;10151;Gelderland;P25;1700;1671;15;;1656;129;1171;95;9;191;1;59;;;1
Amstenrade;G0884;10062;Limburg;P31;1590;1557;46;;1511;315;1122;34;6;13;11;2;2;1;5
Amsterdam;G0363;11150;Noord-Holland;P27;541882;506554;14565;;491989;197577;83936;33384;56884;18460;92776;1376;1328;3745;2523
Andel;G0742;10871;Noord-Brabant;P30;727;672;10;;662;95;2;215;7;257;1;84;1;;
Andijk;G0364;10822;Noord-Holland;P27;2311;2223;22;;2201;658;405;812;86;28;150;43;6;;13
Angerlo;G0199;11131;Gelderland;P25;1745;1701;21;;1680;243;1001;48;63;314;1;5;;3;2
Ankeveen;G1014;10936;Noord-Holland;P27;499;488;9;;479;113;222;31;11;73;22;4;2;;1
Anloo;G0105;10787;Drenthe;P22;3428;3237;139;;3098;2078;17;78;715;75;81;1;11;9;33
Anna Paulowna;G0366;10344;Noord-Holland;P27;3754;3654;37;;3617;1346;1281;253;374;144;169;15;24;9;2
Apeldoorn;G0200;11075;Gelderland;P25;55421;52988;1254;;51734;19532;6867;5899;6013;10306;1277;1243;138;252;207
Appeltern;G0201;11296;Gelderland;P25;1965;1868;11;;1857;66;1637;7;8;137;1;1;;;
Appingedam;G0003;10886;Groningen;P20;5377;5116;130;;4986;2183;129;936;514;820;318;6;40;10;30
Arcen en Velden;G0885;10202;Limburg;P31;2471;2475;19;;2456;134;2257;14;29;6;2;;;9;5
Arkel;G0487;10079;Zuid-Holland;P28;1009;959;19;;940;498;22;116;196;58;4;35;1;9;1
Arnemuiden;G0649;11419;Zeeland;P29;1528;1450;14;;1436;398;7;242;27;235;4;517;2;2;2
Arnhem;G0202;10795;Gelderland;P25;68851;66092;1324;;64768;26686;19195;4481;6497;4839;1965;284;127;382;312
Asperen;G0488;11369;Zuid-Holland;P28;1005;967;11;;956;269;9;238;97;162;3;170;6;;2
Assen;G0106;10522;Drenthe;P22;15193;14021;375;;13646;6824;591;1996;1897;1154;456;19;519;131;59
Assendelft;G0367;11373;Noord-Holland;P27;3949;3845;56;;3789;1194;1570;111;201;40;593;42;26;2;10
Asten;G0743;10478;Noord-Brabant;P30;4126;4057;29;;4028;115;3846;5;21;32;6;;;2;1
Avenhorn;G0368;11147;Noord-Holland;P27;855;844;5;;839;295;431;6;80;14;9;;;;4
Avereest;G0143;11190;Overijssel;P23;6506;6039;76;;5963;1594;619;1285;504;1860;15;41;31;3;11
Axel;G0650;11289;Zeeland;P29;4484;4315;75;;4240;1047;833;738;245;726;10;200;411;9;21
Baarderadeel;G0061;10422;Fryslân;P21;3054;2911;25;;2886;1458;124;418;523;299;24;8;;6;26
Baarland;G0651;10634;Zeeland;P29;482;475;10;;465;103;110;83;24;101;6;35;;1;2
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;1991;1944;16;;1928;49;1848;9;6;8;4;2;;;2
Baarn;G0308;11411;Utrecht;P26;11480;10909;238;;10671;3607;1899;1894;1622;964;180;285;81;101;38
Baexem;G0886;11255;Limburg;P31;677;706;4;;702;5;695;1;;;;;;;1
Baflo;G0004;10539;Groningen;P20;1745;1696;18;;1678;596;9;734;212;62;16;3;36;3;7
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;2419;2429;21;;2408;73;2306;6;10;9;2;;;1;1
Barendrecht;G0489;10943;Zuid-Holland;P28;4277;4093;48;;4045;1041;69;1469;459;605;18;328;41;7;8
Barneveld;G0203;10906;Gelderland;P25;11398;11119;130;;10989;2008;685;2156;457;3488;60;1970;72;20;73
Barradeel;G0062;10156;Fryslân;P21;4250;4137;37;;4100;1305;31;1212;267;1189;33;8;35;2;18
Barsingerhorn;G0369;10973;Noord-Holland;P27;1165;1103;22;;1081;618;64;48;192;28;120;5;3;2;1
Barwoutswaarder;G1017;10447;Zuid-Holland;P28;465;456;5;;451;65;85;104;7;145;3;40;;;2
Batenburg;G0204;10921;Gelderland;P25;315;306;6;;300;7;244;7;6;32;;;;2;2
Bathmen;G0144;11030;Overijssel;P23;1377;1332;22;;1310;485;25;20;466;294;7;1;1;3;8
Bedum;G0005;10425;Groningen;P20;4125;4010;31;;3979;1074;173;1744;373;134;18;10;437;4;12
Beegden;G0887;11089;Limburg;P31;591;581;4;;577;12;563;2;;;;;;;
Beek;G0888;11374;Limburg;P31;4795;4736;119;;4617;584;3928;16;32;17;11;;5;13;11
Beek en Donk;G0746;10173;Noord-Brabant;P30;2342;2301;26;;2275;96;2148;5;13;6;3;2;;;2
Beemster;G0370;10816;Noord-Holland;P27;3575;3490;41;;3449;1420;1002;150;617;95;147;10;;3;5
Beers;G0747;11410;Noord-Brabant;P30;1103;1087;6;;1081;6;1074;;;;;;;;1
Beerta;G0006;11043;Groningen;P20;2335;2221;71;;2150;898;13;45;275;78;828;4;2;4;3
Beesd;G0205;10259;Gelderland;P25;1707;1662;27;;1635;414;702;69;58;293;9;82;7;;1
Beesel;G0889;10195;Limburg;P31;3540;3512;37;;3475;187;3252;9;10;3;5;;;;9
Beets;G0371;10536;Noord-Holland;P27;325;317;4;;313;199;4;12;81;13;3;;1;;
Beilen;G0107;10520;Drenthe;P22;5985;5635;128;;5507;2242;77;1227;709;1054;63;4;115;7;9
