,Year,Unnamed: 0,Kiesgerechtigden,Opkomst,OngeldigeStemmen,BlancoStemmen,GeldigeStemmen,VVD,PVV (Partij voor de Vrijheid),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,Piratenpartij,Rooms-Katholieke Staatspartij (RKSP),Sociaal-Democratische Arbeiderspartij (SDAP),Anti-Revolutionaire Partij,Liberale Unie,CHU 1,Vrijzinnig-Democratische Bond (VDB),CHU 2,Vrijheidsbond 1,Vrijheidsbond 2,Communistische Partij van Nederland,HGSP,Christelijk-Historische Unie,Liberale Staatspartij (LSP),Rooms-Katholieke Volkspartij (RKVP),Plattelandersbond,Christelijk-Democratische Unie,Nationaal-Socialistische Beweging (NSB),Katholieke Volkspartij (KVP),Partij van de Vrijheid,Overig,Lijst Welter,Katholieke Nationale Partij,Gereformeerd Politiek Verbond (GPV),Pacifistisch-Socialistische Partij (PSP),Boeren Partij,Democratisch Socialisten '70,Politieke Partij Radikalen (PPR),Nederlandse Middenstands Partij,Rooms Katholieke Partij Nederland (RKPN),Reformatorische Politieke Federatie (RPF),Evangelische Volkspartij,CP,Centrumdemocraten,GL,De Groenen,Algemeen Ouderen Verbond (AOV),Ouderen Unie 55+,Lijst Pim Fortuyn,LN,Verenigde Senioren Partij,ETnNL,TROTS op Nederland Lijst Rita Verdonk
0,1918,625521,3034760.0,2675554.0,0.0,0.0,2675554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9916.0,0.0,0.0,0.0,805886.0,588786.0,360420.0,165608.0,157144.0,141214.0,19326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1922,365085,5712896.0,4771096.0,99892.0,3624.0,4637836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35868.0,0.0,0.0,0.0,1508846.0,998396.0,681406.0,0.0,87756.0,223892.0,423302.0,275832.0,122854.0,99324.0,37286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1925,458403,5856742.0,5559094.0,75918.0,6550.0,5475444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106298.0,0.0,0.0,0.0,1667976.0,1290892.0,661830.0,0.0,0.0,334106.0,0.0,0.0,0.0,68512.0,55506.0,547956.0,409880.0,76780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1929,581581,7176212.0,6424658.0,85356.0,8598.0,6336516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142840.0,0.0,0.0,0.0,1863664.0,1524562.0,743396.0,0.0,0.0,386062.0,0.0,0.0,0.0,0.0,68884.0,671600.0,464374.0,43788.0,64602.0,24814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1933,579426,8273038.0,7795004.0,137170.0,214194.0,7443656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186550.0,0.0,0.0,0.0,2074710.0,1597264.0,999784.0,0.0,0.0,377904.0,0.0,0.0,0.0,236476.0,67860.0,679626.0,517500.0,81810.0,95376.0,76928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1937,558096,8925718.0,8425722.0,154478.0,155174.0,8116094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157238.0,0.0,0.0,0.0,2340862.0,1782122.0,1331002.0,0.0,0.0,479004.0,0.0,0.0,0.0,272052.0,47386.0,605658.0,320520.0,0.0,13096.0,170008.0,342274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1946,516636,0.0,9521422.0,0.0,0.0,9521422.0,0.0,0.0,0.0,0.0,0.0,0.0,2695880.0,0.0,0.0,0.0,203522.0,0.0,0.0,0.0,0.0,0.0,1228402.0,0.0,0.0,0.0,0.0,0.0,0.0,1005926.0,0.0,746434.0,0.0,0.0,0.0,0.0,0.0,2933164.0,610570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1948,516636,10826408.0,9862998.0,0.0,0.0,9862998.0,783722.0,0.0,0.0,0.0,0.0,0.0,2525776.0,0.0,0.0,0.0,233728.0,0.0,0.0,0.0,0.0,0.0,1302160.0,0.0,0.0,0.0,0.0,0.0,0.0,763726.0,0.0,906272.0,0.0,0.0,0.0,0.0,0.0,3061588.0,0.0,161310.0,124716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1952,514605,11562280.0,10670912.0,0.0,0.0,10670912.0,942076.0,0.0,0.0,0.0,0.0,0.0,3091688.0,0.0,0.0,0.0,258146.0,0.0,0.0,0.0,0.0,0.0,1206340.0,0.0,0.0,0.0,0.0,0.0,0.0,657224.0,0.0,952376.0,0.0,0.0,0.0,0.0,0.0,3058868.0,0.0,0.0,0.0,289038.0,70988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1956,504510,12244136.0,11699214.0,243816.0,0.0,11455398.0,1005060.0,0.0,0.0,0.0,0.0,0.0,3744402.0,0.0,0.0,0.0,259030.0,0.0,0.0,0.0,0.0,0.0,1135058.0,0.0,0.0,0.0,0.0,0.0,0.0,544100.0,0.0,965830.0,0.0,0.0,0.0,0.0,0.0,3630576.0,0.0,0.0,0.0,0.0,74416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
