Year,OuderRegioNaam,Unnamed: 0,Kiesgerechtigden,Opkomst,OngeldigeStemmen,BlancoStemmen,GeldigeStemmen,VVD,PVV (Partij voor de Vrijheid),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,Volt,JA21,BBB,BIJ1,Piratenpartij,Rooms-Katholieke Staatspartij (RKSP),Sociaal-Democratische Arbeiderspartij (SDAP),Anti-Revolutionaire Partij,Liberale Unie,CHU 1,Vrijzinnig-Democratische Bond (VDB),CHU 2,Vrijheidsbond 1,Vrijheidsbond 2,Communistische Partij van Nederland,HGSP,Christelijk-Historische Unie,Liberale Staatspartij (LSP),Rooms-Katholieke Volkspartij (RKVP),Plattelandersbond,Christelijk-Democratische Unie,Nationaal-Socialistische Beweging (NSB),Katholieke Volkspartij (KVP),Partij van de Vrijheid,Overig,Lijst Welter,Katholieke Nationale Partij,Gereformeerd Politiek Verbond (GPV),Pacifistisch-Socialistische Partij (PSP),Boeren Partij,Democratisch Socialisten '70,Politieke Partij Radikalen (PPR),Nederlandse Middenstands Partij,Rooms Katholieke Partij Nederland (RKPN),Reformatorische Politieke Federatie (RPF),Evangelische Volkspartij,CP,Centrumdemocraten,GL,De Groenen,Algemeen Ouderen Verbond (AOV),Ouderen Unie 55+,Lijst Pim Fortuyn,LN,Verenigde Senioren Partij,ETnNL,TROTS op Nederland Lijst Rita Verdonk,Rechts,Midden ,Links,One issue,Totaal,Man,Vrouw,-20,20-45,45-65,65-80,85,Ongehuwd,Gehuwd,Weduwe,gescheiden,%tov totaal
1918,Drenthe,18985,43812,38865,0,0,38865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1729,11445,7027,6785,2123,4366,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9581,18472,0,189837,94168,95669,81094,67258,30179,9857,1449,109581,66083,8811,5362,3%
,Fryslân,22729,94179,84342,0,0,84342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5430,26818,18694,5384,11860,3874,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21348,45512,0,408077,202425,205652,174321,144579,64872,21190,3116,235558,142054,18940,11526,6%
,Gelderland,56471,164900,147438,0,0,147438,0,0,0,0,0,0,0,0,0,0,832,0,0,0,0,0,0,0,45841,27835,20719,8639,9278,6339,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,63837,48554,0,714511,354430,360081,305222,253146,113586,37101,5455,412443,248725,33162,20182,11%
,Groningen,33839,82332,71923,0,0,71923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3629,24906,15222,3659,4409,11064,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19210,40128,0,356744,176961,179783,152393,126392,56712,18524,2724,205926,124184,16557,10076,5%
,Limburg,67873,83876,77769,0,0,77769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63774,7077,181,995,341,2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66213,7258,0,363434,180280,183154,155251,128762,57775,18872,2775,209788,126513,16868,10265,6%
,Noord-Brabant,97624,159410,146164,0,0,146164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119548,8150,5158,1133,3239,1166,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124108,13308,0,690723,342630,348093,295061,244718,109805,35866,5274,398711,240444,32058,19510,11%
,Noord-Holland,77286,300325,256743,0,0,256743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56291,60376,19760,17695,10197,21630,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88748,80136,0,1301307,645507,655799,555888,461043,206870,67571,9936,751164,452991,60396,36756,20%
,Overijssel,31727,100977,91316,0,0,91316,0,0,0,0,0,0,0,0,0,0,1223,0,0,0,0,0,0,0,23481,18934,12784,6731,6637,4655,3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223,37913,31718,0,437533,217036,220497,186904,155014,69555,22719,3341,252561,152307,20307,12358,7%
,Total,1118,1517380,1337777,0,0,1337777,0,0,0,0,0,0,0,0,0,0,4958,0,0,0,0,0,0,0,402943,294393,180210,82804,78572,70607,9663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4958,561785,474603,0,6574800,3261400,3313400,2808600,2329400,1045200,341400,50200,3795224,2288720,305147,185709,100%
,Utrecht,42480,74033,62477,0,0,62477,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,18556,12927,13233,1286,5400,3367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,27323,26160,0,320785,159124,161661,137032,113651,50995,16657,2449,185169,111667,14888,9061,5%
,Zeeland,65131,55722,50117,0,0,50117,0,0,0,0,0,0,0,0,0,0,2269,0,0,0,0,0,0,0,9554,4917,10340,10268,4323,2971,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2269,17152,15257,0,241443,119767,121676,103139,85541,38382,12537,1843,139370,84048,11206,6820,4%
,Zuid-Holland,110258,357814,310623,0,0,310623,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,55110,91008,57092,20229,20765,9077,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,86352,148100,0,1550406,769072,781334,662297,549297,246469,80506,11838,894953,539704,71957,43792,24%
