Year,OuderRegioNaam,Unnamed: 0,Kiesgerechtigden,Opkomst,OngeldigeStemmen,BlancoStemmen,GeldigeStemmen,VVD,PVV (Partij voor de Vrijheid),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,Volt,JA21,BBB,BIJ1,Piratenpartij,Rooms-Katholieke Staatspartij (RKSP),Sociaal-Democratische Arbeiderspartij (SDAP),Anti-Revolutionaire Partij,Liberale Unie,CHU 1,Vrijzinnig-Democratische Bond (VDB),CHU 2,Vrijheidsbond 1,Vrijheidsbond 2,Communistische Partij van Nederland,HGSP,Christelijk-Historische Unie,Liberale Staatspartij (LSP),Rooms-Katholieke Volkspartij (RKVP),Plattelandersbond,Christelijk-Democratische Unie,Nationaal-Socialistische Beweging (NSB),Katholieke Volkspartij (KVP),Partij van de Vrijheid,Overig,Lijst Welter,Katholieke Nationale Partij,Gereformeerd Politiek Verbond (GPV),Pacifistisch-Socialistische Partij (PSP),Boeren Partij,Democratisch Socialisten '70,Politieke Partij Radikalen (PPR),Nederlandse Middenstands Partij,Rooms Katholieke Partij Nederland (RKPN),Reformatorische Politieke Federatie (RPF),Evangelische Volkspartij,CP,Centrumdemocraten,GL,De Groenen,Algemeen Ouderen Verbond (AOV),Ouderen Unie 55+,Lijst Pim Fortuyn,LN,Verenigde Senioren Partij,ETnNL,TROTS op Nederland Lijst Rita Verdonk
1918,Drenthe,18985,43812,38865,0,0,38865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1729,11445,7027,6785,2123,4366,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,Fryslân,22729,94179,84342,0,0,84342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5430,26818,18694,5384,11860,3874,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,Gelderland,56471,164900,147438,0,0,147438,0,0,0,0,0,0,0,0,0,0,832,0,0,0,0,0,0,0,45841,27835,20719,8639,9278,6339,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,Groningen,33839,82332,71923,0,0,71923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3629,24906,15222,3659,4409,11064,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,Limburg,67873,83876,77769,0,0,77769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63774,7077,181,995,341,2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,Noord-Brabant,97624,159410,146164,0,0,146164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119548,8150,5158,1133,3239,1166,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,Noord-Holland,77286,300325,256743,0,0,256743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56291,60376,19760,17695,10197,21630,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,Overijssel,31727,100977,91316,0,0,91316,0,0,0,0,0,0,0,0,0,0,1223,0,0,0,0,0,0,0,23481,18934,12784,6731,6637,4655,3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,Total,1118,1517380,1337777,0,0,1337777,0,0,0,0,0,0,0,0,0,0,4958,0,0,0,0,0,0,0,402943,294393,180210,82804,78572,70607,9663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,Utrecht,42480,74033,62477,0,0,62477,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,18556,12927,13233,1286,5400,3367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,Zeeland,65131,55722,50117,0,0,50117,0,0,0,0,0,0,0,0,0,0,2269,0,0,0,0,0,0,0,9554,4917,10340,10268,4323,2971,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,Zuid-Holland,110258,357814,310623,0,0,310623,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,55110,91008,57092,20229,20765,9077,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Drenthe,14740,91600,81851,759,260,80832,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,4207,19243,15180,0,415,5912,9786,1241,7522,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Fryslân,17627,196068,180602,4447,0,176155,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,11991,43538,40790,0,32513,8337,517,786,16982,1035,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Gelderland,41013,321711,298803,3277,171,295355,0,0,0,0,0,0,0,0,0,0,2491,0,0,0,0,0,0,0,99427,45105,39400,0,2507,13374,34726,36340,2346,1998,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Groningen,13815,126111,101209,1406,51,99741,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,6962,23764,18578,0,400,10516,9517,703,6147,4088,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Limburg,51672,185224,168728,911,357,167560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137106,16694,865,0,223,1539,1297,537,786,1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Noord-Brabant,60531,254726,230303,1165,251,228932,0,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0,0,184963,10412,8221,0,455,1864,5834,542,2958,758,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Noord-Holland,33591,525980,450048,30488,365,418277,0,0,0,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,91217,117238,36950,0,2068,38298,30485,28424,6397,24631,2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Overijssel,24604,199903,196403,3949,100,192354,0,0,0,0,0,0,0,0,0,0,1667,0,0,0,0,0,0,0,49722,38425,28732,0,1062,9995,28554,1790,11514,3138,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Total,854,2856448,2385548,49946,1812,2318918,0,0,0,0,0,0,0,0,0,0,17934,0,0,0,0,0,0,0,754423,499198,340703,0,43878,111946,211651,137916,61427,49662,18643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
