Year,Rechts,Midden ,Links,One issue
1918.0,0,9581,18472,0
1922.0,8864,20320,34983,0
1925.0,5776,23816,39963,0
1929.0,5825,29640,42316,6341
1933.0,11372,27298,44875,7128
1937.0,16280,35912,49028,411
1946.0,20151,22422,82582,0
1948.0,20748,25930,80140,0
1952.0,21202,28812,88115,0
1956.0,23045,30185,94773,0
1959.0,29497,31000,95647,1609
1963.0,26784,34498,98158,7005
1967.0,27147,41600,104055,12356
1971.0,25548,45183,108147,2799
1972.0,33588,47275,128573,5521
1977.0,47121,90076,111439,3263
1981.0,48860,107235,112731,146
1982.0,58247,87421,116484,577
1986.0,52077,105574,129375,0
1989.0,44853,108166,135508,0
1994.0,52581,110876,108288,7751
1998.0,59663,83452,125228,0
2002.0,88215,99907,102065,891
2003.0,64543,94335,142674,1107
2006.0,58732,89481,156052,4373
2010.0,96332,67875,121242,3162
2012.0,302377,143953,293898,30026
2017.0,341361,240376,231970,51370
