Year;Rechts;Midden ;Links;One issue;;;;;;;;;;
1918;4958;561785;474603;0;;;;;;;;;;
1922;217277;1140541;889563;0;;;;;;;;;;
1925;258089;1341162;1010617;0;;;;;;;;;;
1929;303607;1529406;1133979;32301;;;;;;;;;;
1933;352025;1679419;1416762;47688;;;;;;;;;;
1937;410016;1821459;1692588;6548;;;;;;;;;;
1946;407046;1839799;2465104;0;;;;;;;;;;
1948;508725;2046288;2295831;0;;;;;;;;;;
1952;600111;2185635;2477626;0;;;;;;;;;;
1956;632045;2335411;2711780;0;;;;;;;;;;
1959;862436;2422315;2639417;37774;;;;;;;;;;
1963;787369;2578454;2661435;133210;;;;;;;;;;
1967;876348;2750483;2747197;328186;;;;;;;;;;
1971;801827;2521194;2771741;69678;;;;;;;;;;
1972;1231489;2553605;3421437;143239;;;;;;;;;;
1977;1669699;3411568;3119153;69914;;;;;;;;;;
1981;1676708;4034783;2899971;12242;;;;;;;;;;
1982;2057399;3156029;2914823;68423;;;;;;;;;;
1986;1756731;4056825;3251851;36741;;;;;;;;;;
1989;1456345;4111470;3263590;0;;;;;;;;;;
1994;1947652;3886217;2597204;404548;;;;;;;;;;
1998;2278554;2713605;3440811;0;;;;;;;;;;
2002;3398140;3378993;2657162;39005;;;;;;;;;;
2003;2467881;3361507;3736888;47754;;;;;;;;;;
2006;2238897;3192774;4168934;192510;;;;;;;;;;
2010;3600586;2251618;3401597;122317;;;;;;;;;;
2012;3651991;1883897;3470499;359793;;;;;;;;;;
2017;4017658;2985917;2732251;663005;;;;;;;;;;
