VVD;Rechts
PVV (Partij voor de Vrijheid);Rechts
Staatkundig Gereformeerde Partij (SGP);Rechts
Forum voor Democratie;Rechts
Liberale Unie;Rechts
Vrijheidsbond 1;Rechts
Vrijheidsbond 2;Rechts
Liberale Staatspartij (LSP);Rechts
Nationaal-Socialistische Beweging (NSB);Rechts
Partij van de Vrijheid;Rechts
Lijst Pim Fortuyn;Rechts
LN;Rechts
ETnNL;Rechts
TROTS op Nederland Lijst Rita Verdonk;Rechts
CDA;Midden 
Democraten 66 (D66);Midden 
Piratenpartij;Midden 
Rooms-Katholieke Staatspartij (RKSP);Midden 
CHU 1;Midden 
Vrijzinnig-Democratische Bond (VDB);Midden 
CHU 2;Midden 
HGSP;Midden 
Christelijk-Historische Unie;Midden 
Rooms-Katholieke Volkspartij (RKVP);Midden 
Christelijk-Democratische Unie;Midden 
Katholieke Volkspartij (KVP);Midden 
Lijst Welter;Midden 
Katholieke Nationale Partij;Midden 
Gereformeerd Politiek Verbond (GPV);Midden 
Politieke Partij Radikalen (PPR);Midden 
Nederlandse Middenstands Partij;Midden 
Rooms Katholieke Partij Nederland (RKPN);Midden 
Reformatorische Politieke Federatie (RPF);Midden 
Evangelische Volkspartij;Midden 
Centrumdemocraten;Midden 
GROENLINKS;Links
SP (Socialistische Partij);Links
Partij van de Arbeid (P.v.d.A.);Links
DENK;Links
Sociaal-Democratische Arbeiderspartij (SDAP);Links
Anti-Revolutionaire Partij;Links
Communistische Partij van Nederland;Links
Pacifistisch-Socialistische Partij (PSP);Links
Democratisch Socialisten '70;Links
GL;Links
De Groenen;Links
Partij voor de Dieren;One Issue
50PLUS;One Issue
Plattelandersbond;One Issue
Boeren Partij;One Issue
CP;One Issue
Algemeen Ouderen Verbond (AOV);One Issue
Ouderen Unie 55+;One Issue
Verenigde Senioren Partij;One Issue
