Year;Totaal;-20;20-45;45-65;65-80;85
1918;6574800;2808600;2329400;1045200;341400;50200
1922;6968200;2923400;2495600;1133800;362000;53400
1925;7289500;3009500;2633000;1208500;383000;55500
1929;7717900;3124300;2816200;1308100;411000;58300
1933;8127700;3201900;2994300;1413700;454000;63800
1937;8531300;3267100;3170700;1521300;502000;70200
1946;9549800;3571600;3479400;1790400;617800;90000
1948;9788400;3656800;3538200;1853200;644400;95000
1952;10328343;3853988;2999353;2656483;710729;107790
1956;10821661;4063634;3013487;2832042;782200;130298
1959;11278024;4270455;3076070;2940435;843228;147836
1963;11889962;4532162;3141795;3108573;934630;172802
1967;12535307;4659556;3397478;3259448;1018765;200060
1971;13119430;4678829;3730445;3370407;1111504;228245
1972;13269563;4694750;3809177;3397711;1132778;235147
1977;13814495;4579205;4197667;3523309;1236344;277970
1981;14208586;4395798;4525169;3645612;1318916;323091
1982;14285829;4330786;4607340;3679442;1332480;335781
1986;14529430;4018630;4863855;3877757;1386796;382392
1989;14805240;3874701;4879741;4173791;1458653;418354
1994;15341553;3751154;5011430;4570975;1543699;464295
1998;15654192;3809170;6025562;3709741;1616527;493192
2002;16105285;3940636;5942923;4023012;1667107;531607
2003;16192572;3968999;5899849;4103268;1676486;543970
2006;16334210;3975626;5704537;4323588;1743443;587016
2010;16574989;3928334;5489552;4618775;1890334;647994
2012;16730348;3894754;5430446;4688780;2030353;686015
2017;17081507;3817173;5280519;4824155;2395385;764275
2021;17407585;3775257;5403489;4836284;2570467;822088
